,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
rTotalReactiveEnergy_spectral_flatness,0.006147951655620217,0.013718506453016976,0.01879345477607005,91.0,24.0,106.0,73.66666666666667
rTotalApparentEnergy_spectral_flatness,0.007922980102498136,0.0041823546563690694,0.01604765731708826,72.0,44.0,108.0,74.66666666666667
rTotalApparentEnergy_std,0.004346189204535159,0.0001586330570964023,0.2848871489950814,99.0,111.0,14.0,74.66666666666667
airTotal_dominant_frequency,0.002778870405886653,0.004686616272548738,0.1305594107608158,106.0,40.0,82.0,76.0
aVoltage_L2_N_spectral_peak,0.007027507584997362,0.0012699963186320051,0.22061363576217335,86.0,87.0,58.0,77.0
rTotalReactiveEnergy_dominant_frequency,0.005289394051480457,0.004303543039985591,0.04560940585957924,93.0,43.0,99.0,78.33333333333333
aVoltage_L1_N_welch_peak_power,0.007090257157768803,0.0009527436766774144,0.21911902320776067,85.0,94.0,59.0,79.33333333333333
rTotalReactiveEnergy_ks_test_statistic,0.0,0.05623350272461214,0.0,117.5,4.0,118.5,80.0
airTotal_welch_total_power,0.007374523496428316,0.001489722089708101,0.17567128581638392,80.0,83.0,77.0,80.0
aVoltage_L2_N_ks_test_statistic,0.0,0.055419683132808206,0.0,117.5,5.0,118.5,80.33333333333333
airTotal_ks_test_statistic,0.0,0.054858761155314184,6.2299836311886905e-18,117.5,8.0,116.0,80.5
rTotalApparentEnergy_ks_test_statistic,0.0,0.05410631865938975,2.222214796933014e-16,117.5,9.0,115.0,80.5
rTotalApparentEnergy_trend_slope,0.00441286529019297,0.0,0.2668323396957687,98.0,117.0,27.0,80.66666666666667
aVoltage_L1_N_ks_test_statistic,0.0,0.05523533693647109,0.0,117.5,6.0,118.5,80.66666666666667
aVoltage_L3_N_ks_test_statistic,0.0,0.05517474426316182,0.0,117.5,7.0,118.5,81.0
aVoltage_L3_N_welch_peak_power,0.007103463151518092,0.0007924361032340954,0.21644503905492427,84.0,98.0,64.0,82.0
aCosPhi_L2_trend_slope,0.008058214179682116,0.0022013490575294448,0.0054109678065930675,68.0,70.0,110.0,82.66666666666667
rTotalApparentEnergy_welch_peak_power,0.004616530394122692,0.0,0.2500668994208427,95.0,117.0,36.0,82.66666666666667
