,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
aVoltage_L3_N_skew,0.0075385649335296,0.001355170362050906,0.030353169337346896,55.0,89.0,105.0,83.0
aApparentPower_L1_ks_test_statistic,0.0,0.024974914847571306,1.629835889345236e-16,116.5,20.0,113.0,83.16666666666667
airDurchfluss_dominant_frequency,0.0029691974523102264,0.0032792397144387753,0.17062781664433097,98.0,74.0,79.0,83.66666666666667
rTotalReactiveEnergy_ks_test_statistic,0.0,0.025877196091189658,0.0,116.5,16.0,118.5,83.66666666666667
aVoltage_L3_N_ks_test_statistic,0.0,0.025864048910863024,0.0,116.5,17.0,118.5,84.0
aVoltage_L2_N_ks_test_statistic,0.0,0.025644034729655818,0.0,116.5,18.0,118.5,84.33333333333333
aVoltage_L1_N_ks_test_statistic,0.0,0.025487774880988967,0.0,116.5,19.0,118.5,84.66666666666667
aVoltage_L2_N_freq_energy_ratio_low_high,0.007319359342581163,0.0,0.15454028408434167,61.0,114.0,81.0,85.33333333333333
aVoltage_L1_N_skew,0.007530819333648645,0.0006923809963186311,0.032487154375538,56.0,97.0,103.0,85.33333333333333
rTotalApparentEnergy_change_point_score,0.0057591860774724455,0.0034401970623105793,0.06319208877722497,93.0,72.0,95.0,86.66666666666667
aVoltage_L1_N_spectral_flatness,0.006873490491039553,0.0,0.1785849826133567,73.0,114.0,76.0,87.66666666666667
aVoltage_L2_N_trend_slope,0.007584491128086767,0.0001484251191476993,0.01439698701907637,53.0,103.0,111.0,89.0
aCurrentL1_trend_slope,0.006499767541336005,0.0022407208987462734,0.05034074499029788,86.0,82.0,99.0,89.0
aVoltage_L2_N_skew,0.007771633276701903,0.0,0.03238875284139408,49.0,114.0,104.0,89.0
aApparentPower_L1_trend_slope,0.0064270025116624895,0.0026370553055230506,0.05056976421987065,89.0,81.0,98.0,89.33333333333333
aVoltage_L3_N_spectral_flatness,0.006731265110035984,0.0,0.17496925889772713,79.0,114.0,77.0,90.0
rTotalApparentEnergy_spectral_flatness,0.00600152219756595,0.0009913199179643062,0.09743420356852117,91.0,91.0,91.0,91.0
aVoltage_L3_N_trend_slope,0.0071523142041018,0.0006866451919960159,0.014885621870373067,67.0,99.0,110.0,92.0
rTotalApparentEnergy_skew,0.006800489961727745,0.000837926766806163,0.02850890577207966,76.0,95.0,106.0,92.33333333333333
aVoltage_L2_N_spectral_flatness,0.006537190491842445,0.0,0.14496791722134966,84.0,114.0,82.0,93.33333333333333
rTotalApparentEnergy_freq_energy_ratio_low_high,0.0065071726096856,0.0010776669989212007,0.0226899648430276,85.0,90.0,108.0,94.33333333333333
aVoltage_L1_N_trend_slope,0.007223795340142637,0.0,0.015004824940463244,65.0,114.0,109.0,96.0
rTotalReactiveEnergy_skew,0.000717798853048669,0.0022395557502832286,0.010503252780389402,111.0,83.0,112.0,102.0
rTotalApparentEnergy_dominant_frequency,0.0,0.0007730261764009594,6.180838618338476e-40,116.5,96.0,116.0,109.5
