number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
41,0.4700793078586878,2025-10-19 17:47:42.344241,2025-10-19 17:49:09.619861,0 days 00:01:27.275620,True,9,40,15,135,350,COMPLETE
42,0.46351633078526755,2025-10-19 17:49:09.620347,2025-10-19 17:50:23.966421,0 days 00:01:14.346074,True,8,40,20,135,350,COMPLETE
43,0.4569672131147541,2025-10-19 17:50:23.967145,2025-10-19 17:51:49.314810,0 days 00:01:25.347665,True,10,40,15,135,350,COMPLETE
44,0.462123832583881,2025-10-19 17:51:49.316052,2025-10-19 17:52:45.098520,0 days 00:00:55.782468,True,7,30,15,135,400,COMPLETE
45,0.3147262094630516,2025-10-19 17:52:45.100965,2025-10-19 17:53:17.186651,0 days 00:00:32.085686,True,3,40,20,110,300,COMPLETE
46,0.4183044881196832,2025-10-19 17:53:17.187005,2025-10-19 17:54:17.064649,0 days 00:00:59.877644,True,5,50,15,85,350,COMPLETE
47,0.46029515108924807,2025-10-19 17:54:17.065285,2025-10-19 17:55:27.876824,0 days 00:01:10.811539,True,10,30,30,135,350,COMPLETE
48,0.460093896713615,2025-10-19 17:55:27.880522,2025-10-19 17:55:50.654364,0 days 00:00:22.773842,True,8,30,20,110,100,COMPLETE
49,0.4479787939032472,2025-10-19 17:55:50.658590,2025-10-19 17:56:57.903964,0 days 00:01:07.245374,True,9,40,15,10,300,COMPLETE
50,0.44843897824030277,2025-10-19 17:56:57.907561,2025-10-19 17:57:36.774437,0 days 00:00:38.866876,True,9,50,20,85,200,COMPLETE
51,0.4700793078586878,2025-10-19 17:57:36.775022,2025-10-19 17:58:29.431779,0 days 00:00:52.656757,True,9,40,15,135,350,COMPLETE
52,0.4662534435261708,2025-10-19 17:58:29.432293,2025-10-19 17:59:05.085673,0 days 00:00:35.653380,True,8,40,15,135,400,COMPLETE
53,0.4494672263480788,2025-10-19 17:59:05.086224,2025-10-19 17:59:27.084040,0 days 00:00:21.997816,True,9,30,15,135,300,COMPLETE
54,0.43674507310870947,2025-10-19 17:59:27.084608,2025-10-19 18:00:03.655782,0 days 00:00:36.571174,True,10,40,15,110,350,COMPLETE
55,0.4566493955094991,2025-10-19 18:00:03.656298,2025-10-19 18:00:27.196947,0 days 00:00:23.540649,True,8,30,25,135,350,COMPLETE
56,0.4472008045591686,2025-10-19 18:00:27.198198,2025-10-19 18:00:41.897034,0 days 00:00:14.698836,True,9,60,10,60,100,COMPLETE
57,0.41274850110444933,2025-10-19 18:00:41.897668,2025-10-19 18:00:58.436796,0 days 00:00:16.539128,True,10,40,10,110,150,COMPLETE
58,0.44554149953717986,2025-10-19 18:00:58.437443,2025-10-19 18:01:41.796874,0 days 00:00:43.359431,True,8,50,20,35,400,COMPLETE
59,0.4701307882644044,2025-10-19 18:01:41.797468,2025-10-19 18:01:54.060331,0 days 00:00:12.262863,True,7,30,15,60,200,COMPLETE
60,0.45536287732819525,2025-10-19 18:01:54.060939,2025-10-19 18:02:03.010958,0 days 00:00:08.950019,True,7,20,10,60,200,COMPLETE
61,0.45047824745448933,2025-10-19 18:02:03.011663,2025-10-19 18:02:18.158089,0 days 00:00:15.146426,True,9,30,15,60,200,COMPLETE
62,0.4883986306580449,2025-10-19 18:02:18.158621,2025-10-19 18:02:29.811979,0 days 00:00:11.653358,True,9,30,15,60,150,COMPLETE
63,0.458950201884253,2025-10-19 18:02:29.812611,2025-10-19 18:02:38.294825,0 days 00:00:08.482214,True,6,30,15,60,150,COMPLETE
64,0.4473173884938591,2025-10-19 18:02:38.295472,2025-10-19 18:02:45.943332,0 days 00:00:07.647860,True,8,20,15,35,150,COMPLETE
65,0.4428526938648396,2025-10-19 18:02:45.943670,2025-10-19 18:02:55.736967,0 days 00:00:09.793297,True,7,30,15,85,150,COMPLETE
66,0.4675716440422323,2025-10-19 18:02:55.737900,2025-10-19 18:03:04.133439,0 days 00:00:08.395539,True,9,20,10,60,150,COMPLETE
67,0.4678477690288714,2025-10-19 18:03:04.133769,2025-10-19 18:03:11.308523,0 days 00:00:07.174754,True,8,30,15,85,100,COMPLETE
68,0.46102150537634407,2025-10-19 18:03:11.309250,2025-10-19 18:03:23.867195,0 days 00:00:12.557945,True,7,30,20,60,200,COMPLETE
69,0.47270261105459477,2025-10-19 18:03:23.867821,2025-10-19 18:03:35.569293,0 days 00:00:11.701472,True,9,30,15,85,150,COMPLETE
