,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
rTotalReactiveEnergy_std,0.0008858541313796447,0.001179278345184942,0.2831003124239609,107.0,95.0,18.0,73.33333333333333
aVoltage_L1_N_std,0.006550656005330091,0.0015011078453646132,0.23445606150616985,87.0,91.0,44.0,74.0
aVoltage_L3_N_spectral_flatness,0.006643684064199954,0.0011058645910624332,0.23868071210034997,84.0,99.0,43.0,75.33333333333333
airDurchfluss_trend_slope,0.007214165274295958,0.005556182898224904,0.029952256049565272,74.0,49.0,103.0,75.33333333333333
rTotalReactiveEnergy_welch_total_power,0.0005272397271968794,0.0011635905804519009,0.27732961490934693,110.0,96.0,21.0,75.66666666666667
rTotalReactiveEnergy_welch_peak_power,0.0012657573042168715,0.000874225027337916,0.2769100273744625,106.0,103.0,22.0,77.0
aCurrentL1_dominant_frequency,0.005361691380796788,0.0034107216710745902,0.21227500437484745,100.0,65.0,69.0,78.0
aVoltage_L2_N_std,0.0060101682587337295,0.0007739887496340803,0.24944205036820236,96.0,105.0,33.0,78.0
rTotalApparentEnergy_dominant_frequency,0.0033952542821119166,0.007859375569214233,0.05194894556204142,105.0,33.0,98.0,78.66666666666667
rTotalApparentEnergy_change_point_score,0.0,0.02555114943352388,0.03330523171289572,117.0,17.0,102.0,78.66666666666667
aVoltage_L2_N_welch_peak_power,0.006782065007874621,0.0006188101690913772,0.2289037445015472,81.0,106.0,51.0,79.33333333333333
airTotal_change_point_score,0.0005634707996251137,0.004172514792308402,0.21312248329624,109.0,61.0,68.0,79.33333333333333
airTotal_skew,0.006427361068065198,0.005316663727063187,0.07496810314548677,89.0,53.0,96.0,79.33333333333333
rTotalReactiveEnergy_dominant_frequency,0.005407666075242954,0.00542926735054583,0.10599901305832067,99.0,51.0,89.0,79.66666666666667
rTotalApparentEnergy_spectral_flatness,0.007498649183898187,0.0015118653919805602,0.14489463621420512,63.0,89.0,87.0,79.66666666666667
rTotalApparentEnergy_welch_total_power,0.008187873207188199,0.0011268155136401337,0.036178777928741954,43.0,97.0,101.0,80.33333333333333
aVoltage_L2_N_spectral_flatness,0.006614915524081584,0.00027114649921644585,0.23410798930816207,86.0,110.0,45.0,80.33333333333333
rTotalApparentEnergy_welch_peak_power,0.007876229192154591,0.0009162339876653824,0.09950888339509707,52.0,101.0,90.0,81.0
rTotalApparentEnergy_ks_test_statistic,0.0,0.030623917111169963,3.598186483629865e-28,117.0,10.0,116.0,81.0
aApparentPower_L1_ks_test_statistic,0.0,0.03041343861546686,6.059237290879073e-17,117.0,11.0,115.0,81.0
airDurchfluss_dominant_frequency,0.006403025141471556,0.0034615689208570277,0.14401034560083664,92.0,64.0,88.0,81.33333333333333
aVoltage_L3_N_ks_test_statistic,0.0,0.03098170741466122,0.0,117.0,9.0,118.5,81.5
aApparentPower_L1_dominant_frequency,0.005569042621611627,0.0020955736247265655,0.2100654512973481,97.0,78.0,71.0,82.0
airTotal_dominant_frequency,0.0035201301605633714,0.004843564553090873,0.15544419688567457,104.0,56.0,86.0,82.0
aVoltage_L1_N_welch_peak_power,0.0074600437066643785,0.0,0.21901197853423554,65.0,118.0,64.0,82.33333333333333
aVoltage_L1_N_ks_test_statistic,0.0,0.030348417079686163,0.0,117.0,12.0,118.5,82.5
aVoltage_L2_N_ks_test_statistic,0.0,0.02958976098713717,0.0,117.0,13.0,118.5,82.83333333333333
rTotalReactiveEnergy_ks_test_statistic,0.0,0.029345716019599344,0.0,117.0,14.0,118.5,83.16666666666667
aVoltage_L3_N_welch_peak_power,0.006640334938691234,0.0002700631863183922,0.2260779631845618,85.0,111.0,55.0,83.66666666666667
rTotalReactiveEnergy_change_point_score,0.0005019860984464689,0.0,0.26667754186366405,111.0,118.0,27.0,85.33333333333333
aVoltage_L1_N_spectral_peak,0.006276129166584414,0.0010386515121356688,0.21751239254971347,93.0,100.0,66.0,86.33333333333333
aVoltage_L2_N_spectral_peak,0.0066600208551682106,0.0,0.22403407189139263,83.0,118.0,58.0,86.33333333333333
aReactivePower_L1_trend_slope,0.007257877567747829,0.0019833606325043718,0.019468856939358757,72.0,80.0,108.0,86.66666666666667
aReactivePower_L1_dominant_frequency,0.0055492738359202666,0.0027142487926361536,0.06485748789813697,98.0,68.0,97.0,87.66666666666667
aVoltage_L3_N_spectral_peak,0.00615899412203389,0.0,0.22817717554626377,95.0,118.0,54.0,89.0
aVoltage_L3_N_skew,0.00761250229428832,3.4627322007763084e-05,0.0824942516931448,61.0,115.0,93.0,89.66666666666667
aVoltage_L2_N_skew,0.007475066114695752,8.895532675801121e-05,0.07971551532134882,64.0,112.0,95.0,90.33333333333333
aApparentPower_L1_trend_slope,0.0064247109330002996,0.0017128047981527228,0.03823564611313986,90.0,85.0,99.0,91.33333333333333
aCurrentL1_trend_slope,0.0064139448197636445,0.001748486403984284,0.03708860138095812,91.0,84.0,100.0,91.66666666666667
aVoltage_L1_N_skew,0.007292932061380618,3.9507119537596225e-05,0.08151966945772667,70.0,113.0,94.0,92.33333333333333
rTotalApparentEnergy_skew,0.007318756627367049,0.0008819845244110169,0.012797732367110437,69.0,102.0,112.0,94.33333333333333
rTotalApparentEnergy_freq_energy_ratio_low_high,0.007250602636280782,0.0003549790152606036,0.02644835754452125,73.0,108.0,104.0,95.0
aVoltage_L1_N_dominant_frequency,0.004198638570781664,0.0021472038964809315,0.02008922710314314,102.0,77.0,107.0,95.33333333333333
aVoltage_L1_N_trend_slope,0.006893710082123909,0.0007783231870703844,0.015801570567808777,77.0,104.0,109.0,96.66666666666667
aVoltage_L2_N_trend_slope,0.0069050611983522215,0.00031974830901049245,0.013909470579535513,76.0,109.0,111.0,98.66666666666667
aVoltage_L2_N_dominant_frequency,0.004094331066772525,0.0015430683137507284,0.02186226403930766,103.0,88.0,106.0,99.0
aVoltage_L3_N_dominant_frequency,0.004290420445518335,0.0012505853566262548,0.02207851833943898,101.0,94.0,105.0,100.0
aVoltage_L3_N_trend_slope,0.006670131892147226,3.528735377011927e-05,0.015529381321605617,82.0,114.0,110.0,102.0
rTotalReactiveEnergy_skew,0.0004943470733910294,0.0,0.006309857889881041,112.0,118.0,114.0,114.66666666666667
