number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_scale_pos_weight,params_subsample,state
0,0.18325525430867853,2025-11-11 12:06:24.462176,2025-11-11 12:06:25.705022,0 days 00:00:01.242846,0.3119890406724053,0.8540362888980227,0.5102922471479012,0.8005575058716043,0.7319939418114051,0.2904180608409973,0.09340308327072934,2,10,150,19.548647782429917,0.9330880728874675,COMPLETE
1,0.17399789287368872,2025-11-11 12:06:25.705714,2025-11-11 12:06:27.564916,0 days 00:00:01.859202,1.0495128632644757,0.569746930326021,0.6460723242676091,0.8059264473611898,0.18182496720710062,2.1597250932105787,0.042484433685853404,3,3,200,10.495427649405375,0.645614570099021,COMPLETE
2,0.1585971871828058,2025-11-11 12:06:27.565399,2025-11-11 12:06:28.038791,0 days 00:00:00.473392,0.09290082543999545,0.9744427686266666,0.9828160165372797,0.5325257964926398,0.19967378215835974,3.0377242595071916,0.07957992095277988,2,8,350,17.125960221746915,0.5852620618436457,COMPLETE
3,0.17658867844309628,2025-11-11 12:06:28.039254,2025-11-11 12:06:28.632073,0 days 00:00:00.592819,0.9903538202225404,0.831261142176991,0.6558555380447055,0.6293899908000085,0.6842330265121569,0.17194260557609198,0.06914594902276397,1,1,150,12.801020317667163,0.954660201039391,COMPLETE
4,0.19446440618187233,2025-11-11 12:06:28.632533,2025-11-11 12:06:30.620929,0 days 00:00:01.988396,1.7896547008552977,0.5979914312095727,0.522613644455269,0.5442462510259598,0.9695846277645586,2.9894998940554256,0.13054491604548749,2,2,500,9.879954961448966,0.9609371175115584,COMPLETE
5,0.17773758150296548,2025-11-11 12:06:30.621383,2025-11-11 12:06:31.450166,0 days 00:00:00.828783,1.085392166316497,0.9934434683002586,0.8861223846483287,0.5372753218398854,0.8287375091519293,0.7046211248738132,0.05902737075341557,2,3,200,7.980735223012586,0.9010984903770198,PRUNED
6,0.18742535427798132,2025-11-11 12:06:31.450747,2025-11-11 12:06:36.222381,0 days 00:00:04.771634,0.14808930346818072,0.811649063413779,0.6654490124263246,0.9315517129377968,0.7068573438476171,1.7923286427213632,0.11960700969365366,1,9,400,5.953375254290354,0.5579345297625649,COMPLETE
7,0.19376112788900088,2025-11-11 12:06:36.222790,2025-11-11 12:06:40.991717,0 days 00:00:04.768927,0.9444298503238986,0.7806385987847482,0.8854835899772805,0.8803925243084487,0.7296061783380641,0.5979712296915085,0.10055656470799232,1,4,450,12.40693394546586,0.8566223936114975,COMPLETE
8,0.18061976930462637,2025-11-11 12:06:40.992117,2025-11-11 12:06:43.773333,0 days 00:00:02.781216,1.2728208225275608,0.6246461145744375,0.7051914615178149,0.9537832369630466,0.02541912674409519,1.5717799053816335,0.036814079385739204,2,5,100,16.33326707814573,0.7542853455823514,COMPLETE
9,0.11536191021626795,2025-11-11 12:06:43.773784,2025-11-11 12:06:44.056742,0 days 00:00:00.282958,1.616240759128834,0.5932850294430179,0.9462794992449889,0.9018360384495572,0.289751452913768,3.1670187825521174,0.04073360826924564,1,1,500,13.09013362873476,0.9357302950938589,COMPLETE
