tsne_1,tsne_2,label
44.42336,69.30865,1
45.246445,69.14454,1
45.193222,69.023636,1
45.141758,68.932846,1
45.149048,69.28248,1
45.444023,70.007805,1
46.197166,70.16021,1
45.41355,69.81475,1
45.293232,69.69385,1
45.314655,69.5753,1
45.229492,69.480934,1
45.166046,69.361015,1
43.205303,69.35188,1
43.504562,70.615105,1
42.466015,70.446556,1
42.26132,70.201065,1
41.723263,69.56195,1
42.575703,69.89964,1
42.595753,69.739174,1
42.670177,69.46803,1
43.245552,69.21501,1
43.10928,68.93586,1
42.459213,69.01461,1
42.17135,70.23511,1
42.04122,70.174995,1
42.128365,69.97127,1
42.114204,69.56651,1
42.46866,69.1997,1
41.139694,69.26809,0
45.890354,70.028694,0
43.49426,70.57509,0
42.550194,69.63531,0
42.386566,69.084465,0
42.07261,68.49377,0
43.262516,69.9075,0
46.12135,70.072815,0
42.698303,69.320335,0
42.58773,68.94151,0
44.987583,68.997025,0
41.294003,69.05136,0
-62.352745,28.243073,0
-62.50607,27.980713,0
-63.379375,27.771921,0
-62.661053,29.012585,0
-63.31053,27.82323,0
-62.687164,28.991302,0
-62.946743,28.195702,0
-63.093494,27.84374,0
-63.238823,30.172766,0
-71.14287,26.991426,0
-64.866905,27.690008,0
-65.08359,27.402552,0
-63.33335,29.892603,0
-64.49065,27.630772,0
-64.81242,28.03816,0
-64.15843,29.21139,0
-63.7306,30.17495,0
-63.402325,30.47826,0
-65.01813,27.979815,0
-65.32014,27.563112,0
-65.39957,27.142752,0
-64.33999,30.889074,0
-65.160324,29.597841,0
-64.77972,29.56013,0
-63.91198,30.188581,0
-64.39513,29.49469,0
-71.26201,27.110054,0
-64.18653,29.527853,0
-65.88382,28.10582,0
-63.747498,30.80109,0
-71.19889,27.106102,0
-65.80747,28.313028,0
-65.54803,28.242825,0
-65.0386,29.212688,0
-64.61763,30.329428,0
-64.84901,29.433672,0
-66.29744,28.308409,0
-70.44527,27.497791,0
-71.44377,27.31586,0
-66.50616,28.663216,0
-64.99523,30.566402,0
-65.480255,30.940138,0
-66.454185,29.689646,0
-67.106255,29.066198,0
-67.084,29.082487,0
-65.66978,31.732395,0
-65.47482,31.795483,0
-65.66481,31.499952,0
-71.24842,27.153887,0
-65.092476,31.338379,0
-66.87072,29.980429,0
-71.1919,27.50317,0
-66.581665,29.959505,0
-65.11786,31.697111,0
-66.06941,31.10916,0
-67.274,29.357674,0
-66.91233,30.351835,0
-66.59408,30.528229,0
-67.23515,30.590097,0
-66.57184,31.616785,0
-67.68678,30.917418,0
-66.41754,32.22294,0
-69.60332,33.32362,0
-69.96034,33.46079,0
-71.9157,31.765167,0
-69.98837,33.64797,0
-70.2175,32.784004,0
-71.947655,31.984306,0
-69.95409,33.749672,0
