,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
aReactivePower_L1_trend_slope,0.0071631898682395475,0.010936419050932233,0.02058744917009703,56.0,53.0,107.0,72.0
airTempeatur_freq_energy_ratio_low_high,0.008367429840079309,0.004111697766983058,0.185554429450335,45.0,86.0,86.0,72.33333333333333
aReactivePower_L1_freq_energy_ratio_low_high,0.008044684516760431,0.003772851497227947,0.22172628012312465,47.0,92.0,78.0,72.33333333333333
aVoltage_L2_N_welch_peak_power,0.0056209851807709245,0.0027597121036277983,0.34469279302153233,90.0,114.0,14.0,72.66666666666667
airDurchfluss_trend_slope,0.007206762356506335,0.011325073151430054,0.013052834890161675,55.0,52.0,112.0,73.0
airDurchfluss_freq_energy_ratio_low_high,0.00786937892985354,0.003745765399511436,0.2183651382108159,51.0,94.0,79.0,74.66666666666667
aVoltage_L3_N_spectral_flatness,0.005711028646373689,0.003934359320918457,0.2929792927599879,88.0,89.0,49.0,75.33333333333333
aVoltage_L3_N_welch_peak_power,0.005540860119782517,0.0019313061061700942,0.343593625352142,91.0,119.0,16.0,75.33333333333333
rTotalApparentEnergy_welch_total_power,0.00636118767249999,0.004108671836714706,0.2672987462266586,73.0,87.0,68.0,76.0
aVoltage_L1_N_spectral_flatness,0.006217499264109785,0.00322017460838131,0.29434298954101445,77.0,103.0,48.0,76.0
aVoltage_L3_N_spectral_peak,0.005723741352585571,0.0030116849587560335,0.32283305450827265,87.0,109.0,33.0,76.33333333333333
aReactivePower_L1_spectral_flatness,0.00705633660222226,0.003597245038049035,0.22665561977246124,57.0,96.0,77.0,76.66666666666667
rTotalReactiveEnergy_spectral_flatness,0.003887032695107438,0.012252524796229292,0.17513781624399893,95.0,50.0,88.0,77.66666666666667
airDurchfluss_spectral_flatness,0.007318387799724922,0.0031762012087692693,0.206837404460643,54.0,105.0,82.0,80.33333333333333
rTotalReactiveEnergy_freq_energy_ratio_low_high,0.004050375817237845,0.008782353035881041,0.1750718718058427,93.0,62.0,89.0,81.33333333333333
aVoltage_L2_N_ks_test_statistic,0.0,0.026197028697377167,4.1450684313711195e-16,117.0,14.0,114.0,81.66666666666667
aVoltage_L2_N_dominant_frequency,0.0013291099498162148,0.01277915281417541,0.10180524193754754,108.0,46.0,95.0,83.0
aVoltage_L2_N_spectral_flatness,0.0057502178842694365,0.002970347940472795,0.2898170905614222,86.0,112.0,53.0,83.66666666666667
aVoltage_L3_N_ks_test_statistic,0.0,0.025462518355003683,0.0,117.0,16.0,118.0,83.66666666666667
rTotalReactiveEnergy_ks_test_statistic,0.0,0.025302043728051116,0.0,117.0,17.0,118.0,84.0
airTotal_skew,0.006276274502158793,0.008505066321507604,0.0032754311575337825,75.0,64.0,113.0,84.0
airTotal_ks_test_statistic,0.0,0.024772166534100304,0.0,117.0,18.0,118.0,84.33333333333333
aVoltage_L1_N_ks_test_statistic,0.0,0.02423009887039984,1.533364504822321e-39,117.0,21.0,115.0,84.33333333333333
rTotalApparentEnergy_ks_test_statistic,0.0,0.024558367759230038,0.0,117.0,19.0,118.0,84.66666666666667
airTempeatur_ks_test_statistic,0.0,0.02436268276499476,0.0,117.0,20.0,118.0,85.0
aVoltage_L3_N_freq_energy_ratio_low_high,0.006326309780303903,0.002131200017020607,0.2723473662357353,74.0,117.0,66.0,85.66666666666667
aVoltage_L2_N_freq_energy_ratio_low_high,0.00636619195819501,0.0020110555822543397,0.26996719387522594,72.0,118.0,67.0,85.66666666666667
rTotalReactiveEnergy_dominant_frequency,0.0018427523811052307,0.008219830737494327,0.15536845564699361,102.0,65.0,90.0,85.66666666666667
aVoltage_L1_N_dominant_frequency,0.0014779449916596194,0.01086899140411357,0.07017324545710649,106.0,54.0,99.0,86.33333333333333
aVoltage_L1_N_freq_energy_ratio_low_high,0.006092459948352899,0.0023473034810539417,0.2765354248763501,80.0,116.0,64.0,86.66666666666667
aVoltage_L3_N_skew,0.007022224095556053,0.003028428019123286,0.036675437423748423,58.0,107.0,101.0,88.66666666666667
aVoltage_L2_N_skew,0.007328560686649301,0.0030246240318492212,0.02691938037671928,53.0,108.0,105.0,88.66666666666667
rTotalApparentEnergy_skew,0.00647539097809829,0.00376855137701404,0.024096590602276334,70.0,93.0,106.0,89.66666666666667
aReactivePower_L1_dominant_frequency,0.0030216893120482207,0.004419878682085487,0.11866999382760084,98.0,85.0,94.0,92.33333333333333
aReactivePower_L2_dominant_frequency,0.0026147688914973633,0.005542141254297528,0.0968534419390378,100.0,81.0,96.0,92.33333333333333
aVoltage_L2_N_trend_slope,0.006502625039155719,0.0033506780715979456,0.01723851128294832,67.0,102.0,109.0,92.66666666666667
aVoltage_L1_N_trend_slope,0.006474891714461984,0.0034862623361244793,0.01791266556323266,71.0,99.0,108.0,92.66666666666667
rTotalApparentEnergy_freq_energy_ratio_low_high,0.006478989965312764,0.002812142996625022,0.03755322418476438,69.0,113.0,100.0,94.0
airDurchfluss_dominant_frequency,0.0030671660999071985,0.0036314902359824153,0.1284883503673641,97.0,95.0,92.0,94.66666666666667
airTempeatur_dominant_frequency,0.003101243664805312,0.003800490714225946,0.07551515793164518,96.0,91.0,98.0,95.0
aVoltage_L1_N_skew,0.006751439118197018,0.0011368527062414202,0.03234977748335362,64.0,120.0,102.0,95.33333333333333
aVoltage_L3_N_dominant_frequency,0.0014562830261676792,0.005249834406286569,0.09324857233684784,107.0,83.0,97.0,95.66666666666667
aVoltage_L3_N_trend_slope,0.006755813010329878,0.002589466458347678,0.01721470790830385,63.0,115.0,110.0,96.0
rTotalReactiveEnergy_skew,0.0013231224356207816,0.006354904241367532,0.013642922302411719,109.0,77.0,111.0,99.0
