,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
aCosPhi_L2_freq_energy_ratio_low_high,0.010443272644408528,0.0026644939378852595,0.21720701467203002,27.0,84.0,69.0,60.0
aCosPhi_L1_welch_total_power,0.008946169684088495,0.002093514817245179,0.2637685497841443,53.0,93.0,37.0,61.0
rTotalReactiveEnergy_freq_energy_ratio_low_high,0.007662265825489409,0.02229277479357661,0.16073145210950285,75.0,24.0,84.0,61.0
aVoltage_L2_N_spectral_flatness,0.007499235289924317,0.0012200913217867981,0.3326106649937587,81.0,102.0,1.0,61.333333333333336
aCosPhi_L2_skew,0.009647377529681535,0.004721978827565643,0.08450957802156646,39.0,52.0,95.0,62.0
rTotalApparentEnergy_std,0.008243255635693409,0.004580524344679926,0.2179651937820209,63.0,55.0,68.0,62.0
rTotalReactiveEnergy_trend_slope,0.0006010053277282041,0.003823760016736566,0.28398944863812414,108.0,68.0,20.0,65.33333333333333
aCosPhi_L1_skew,0.009794337714778426,0.003498081477738113,0.12957209345455517,37.0,75.0,86.0,66.0
aCosPhi_L3_skew,0.009489492522514659,0.004096133136414659,0.08605221143004502,42.0,63.0,93.0,66.0
rTotalReactiveEnergy_spectral_peak,0.0069830778410228025,0.0023691508320797805,0.2817301846169601,90.0,89.0,23.0,67.33333333333333
rTotalReactiveEnergy_spectral_flatness,0.007510605610725133,0.022165833641962784,0.05461320072785556,80.0,25.0,99.0,68.0
rTotalReactiveEnergy_welch_peak_power,0.0005925417331659418,0.003550422171205714,0.27580401091885987,109.0,74.0,29.0,70.66666666666667
rTotalReactiveEnergy_std,0.0005092607326441436,0.00271579440035552,0.28301055020126387,111.0,82.0,21.0,71.33333333333333
rTotalApparentEnergy_change_point_score,8.884248340894186e-06,0.034852681301213106,0.12472114319992436,114.0,13.0,87.0,71.33333333333333
aVoltage_L2_N_std,0.006591250568854595,0.004227724504646702,0.22574108700839016,95.0,62.0,58.0,71.66666666666667
rTotalReactiveEnergy_welch_total_power,0.0005687999698599018,0.0031940003843606846,0.27636400007469025,110.0,79.0,28.0,72.33333333333333
rTotalApparentEnergy_spectral_peak,0.00892213082427469,0.002112623087131782,0.2103403109946938,54.0,92.0,76.0,74.0
rTotalReactiveEnergy_dominant_frequency,0.0050789392141118725,0.006786659301840636,0.08962874505393394,97.0,35.0,91.0,74.33333333333333
airTotal_dominant_frequency,0.003509389559354973,0.005365075320935109,0.1766961868170306,104.0,47.0,82.0,77.66666666666667
aPowerFactorPF_L2_skew,0.009065351941112694,0.001810859221681227,0.11090224292952318,50.0,96.0,88.0,78.0
rTotalApparentEnergy_trend_slope,0.007936485830447837,0.001910136036241017,0.21715229300084687,70.0,95.0,70.0,78.33333333333333
airTotal_skew,0.008211198228316096,0.004081265007848112,0.013915540907539114,64.0,64.0,109.0,79.0
aVoltage_L3_N_std,0.006266142151275147,0.0022368866065496373,0.22476128621341035,96.0,90.0,60.0,82.0
aVoltage_L1_N_std,0.0066519017666384515,0.0026794981801652185,0.21472782345319885,93.0,83.0,74.0,83.33333333333333
rTotalReactiveEnergy_change_point_score,0.00013566528914860101,0.0008139758236815897,0.27448210207489904,112.0,109.0,30.0,83.66666666666667
rTotalApparentEnergy_ks_test_statistic,0.0,0.025072388331624618,1.5818928658982293e-16,117.5,19.0,115.0,83.83333333333333
aCosPhi_L2_dominant_frequency,0.004683523475518665,0.004408073907093968,0.08578277773030074,99.0,59.0,94.0,84.0
aVoltage_L2_N_ks_test_statistic,0.0,0.025598746545238305,0.0,117.5,16.0,118.5,84.0
aVoltage_L1_N_ks_test_statistic,0.0,0.025591065712770256,0.0,117.5,17.0,118.5,84.33333333333333
airTotal_ks_test_statistic,0.0,0.024565232927727276,2.7174816124497346e-19,117.5,20.0,116.0,84.5
aVoltage_L3_N_ks_test_statistic,0.0,0.02556136785064056,0.0,117.5,18.0,118.5,84.66666666666667
