threshold,accuracy,precision,recall,f1
0.1,0.23506321076026093,0.07272116555401605,1.0,0.1355826059728365
0.11,0.23872308491600763,0.07304523856383727,1.0,0.13614568321760775
0.12000000000000001,0.24277550077931073,0.07340745659268469,1.0,0.13677463509653984
0.13,0.24687409801997345,0.07377747486795025,1.0,0.13741669311329738
0.14,0.25138832765687236,0.07418935705412853,1.0,0.13813087341990882
0.15000000000000002,0.256375916411707,0.07464980964011206,1.0,0.1389286239488777
0.16,0.2615020492986203,0.07512904671708044,1.0,0.13975819357962263
0.17,0.26655891011949434,0.0756078750927637,1.0,0.14058631745559327
0.18,0.27193904058188534,0.07612406053591574,1.0,0.14147822417055805
0.19,0.27786180222825146,0.07670051960321209,1.0,0.14247326569783383
0.2,0.2839115626623564,0.07729842308836656,1.0,0.14350419796730005
0.21000000000000002,0.29043468221439706,0.07795364188733028,1.0,0.14463264255194777
0.22,0.29747734226173295,0.07867363161480809,1.0,0.1458710573967238
0.23,0.30500490677134445,0.0794580459682229,1.0,0.14721840513394438
0.24000000000000002,0.31359464296022627,0.08037247289207876,1.0,0.14878659889755888
0.25,0.3218264734745714,0.08126876876876876,1.0,0.1503211248047214
0.26,0.33108583963516713,0.08230113726359806,1.0,0.15208546758378458
0.27,0.3403567511401028,0.08336140925061367,1.0,0.153893997956373
0.28,0.3502742019280725,0.08452628839146278,1.0,0.15587688246235076
0.29000000000000004,0.36104600819719446,0.08582896975503394,1.0,0.15808929793869325
0.30000000000000004,0.3717485424002771,0.08716365832382741,1.0,0.16035057400320948
0.31,0.3831553426080933,0.08863264192139737,1.0,0.16283296772171732
0.32,0.39580904000461814,0.0903212348769295,1.0,0.1656782092978764
0.33,0.40782774346244877,0.09197131981942108,0.9998075442648191,0.16844733386293997
0.33999999999999997,0.4203659874155747,0.09377425585299373,0.9998075442648191,0.1714662925983992
0.35,0.4337932228828725,0.09578508739582565,0.9998075442648191,0.17482164490510163
0.36,0.4474629105813081,0.0979227927316595,0.9998075442648191,0.1783752231836286
0.37,0.4612942331005022,0.10018513518725652,0.9998075442648191,0.18212094653812444
0.38,0.4752294637187554,0.10257270914368077,0.9998075442648191,0.1860573393263256
0.39,0.4904924089360965,0.10532184490623415,0.9998075442648191,0.19056877166596356
0.4,0.5057784448421174,0.10822691193933459,0.9998075442648191,0.19531176570107336
0.41000000000000003,0.5217687467528719,0.11142575192002403,0.9996150885296382,0.20050183362285273
0.42000000000000004,0.537909138140045,0.1148367689993807,0.9992301770592764,0.2059990477701952
0.43000000000000005,0.5552156093055476,0.11873984762863483,0.9988452655889145,0.2122482363766486
0.44000000000000006,0.57142527275876,0.12266269531711699,0.9986528098537336,0.21848881029074296
0.45000000000000007,0.5876695722449922,0.12686457671051987,0.9984603541185527,0.2251247559123454
0.45999999999999996,0.6050914968538936,0.1316504558498616,0.9976905311778291,0.23260718372108677
0.47,0.6222478785429776,0.1366792512606595,0.9963433410315627,0.2403826062730713
0.48,0.6394735322981008,0.14214621539138325,0.9949961508852964,0.24875502201265426
0.49,0.6572995439588986,0.14836727074298514,0.9942263279445728,0.25820317380982133
0.5,0.6744097442706228,0.15483870967741936,0.9930715935334873,0.26790581760598114
0.51,0.6921433931767015,0.1621077150681482,0.9911470361816782,0.2786419586094955
0.52,0.710869941696011,0.17065480734127642,0.9896073903002309,0.2911087836498995
0.53,0.7278877792530162,0.1792759138358412,0.9882602001539645,0.3034959661928544
0.54,0.7455406107487156,0.18924802597594273,0.9871054657428792,0.31760480525109913
0.55,0.7626854470934595,0.19984365839359,0.9840261739799846,0.33221792664305905
0.56,0.7789182012353518,0.21091451539385903,0.9795996920708238,0.34709673019877935
0.5700000000000001,0.793961784910235,0.22219782150386508,0.9736335642802155,0.3618223430124446
0.58,0.8091670034058766,0.2352226531470492,0.9688221709006929,0.3785389329623642
0.59,0.8236448652081049,0.24894136402132216,0.9617013086989993,0.39550437294708934
0.6,0.8379380015008948,0.2643782314375566,0.9545804464973057,0.4140752180990942
0.61,0.8518501414304681,0.28147893772893773,0.9464973056197075,0.4339156520204694
0.62,0.8645500202043526,0.2992382356554859,0.9374518860662048,0.4536648970848468
0.63,0.8765225422848236,0.3181427343078246,0.9257120862201693,0.47354171794240707
0.64,0.8870865323558275,0.3370307167235495,0.9122401847575058,0.49221183800623053
0.65,0.8972348900305952,0.35816553097006354,0.9003079291762894,0.512460973873035
0.66,0.9070946140968654,0.3814750145505945,0.8829869130100076,0.5327759391511351
0.67,0.9159845292385845,0.40579447713897693,0.8625866050808314,0.5519364571147097
0.6799999999999999,0.923627547191595,0.43021540277367953,0.8418013856812933,0.5694200351493849
0.69,0.9310050222247879,0.4582441113490364,0.8237105465742879,0.5888827738029719
0.7,0.9366045142296369,0.48281486659676104,0.7975365665896844,0.6014950286668118
0.71,0.94176528314957,0.5096446700507614,0.7729022324865281,0.6142551238910982
0.72,0.9459562431449517,0.5356204177617928,0.7451886066204773,0.6232595573440644
0.73,0.9490965768054033,0.5592709745443591,0.7145881447267128,0.6274609209970426
0.74,0.9517404606592391,0.5839391936549901,0.6801385681293303,0.6283783783783784
0.75,0.9537493505743809,0.607517166606433,0.647036181678214,0.6266542404473439
0.76,0.9549962477630896,0.6282608695652174,0.6118167821401078,0.6199297971918877
0.77,0.9555157882583848,0.6461371055495103,0.571401077752117,0.606475334490859
0.78,0.95603532875368,0.6657907310081224,0.5363741339491916,0.5941163930931571
0.79,0.9562200542631184,0.6861081654294804,0.4980754426481909,0.5771632471008028
0.8,0.9559198753102811,0.703125,0.4590069284064665,0.5554261760596181
0.8099999999999999,0.9555273336027247,0.7206172028890347,0.4224403387220939,0.5326377092938607
0.82,0.9549038850083704,0.7362637362637363,0.38683602771362585,0.5071915215745647
0.83,0.9543843445130751,0.7558569667077681,0.3539260969976905,0.48210774675580026
0.84,0.9535530797206027,0.7696551724137931,0.32217090069284066,0.4542124542124542
0.85,0.9525948161403914,0.7829698857736241,0.29022324865280985,0.423476551530469
0.86,0.951982912890377,0.8058997050147493,0.26289453425712084,0.39645914961544043
0.87,0.9514171910177222,0.8293333333333334,0.23941493456505003,0.3715651135005974
0.88,0.9503434739941119,0.842911877394636,0.21170130869899922,0.338409475465313
0.89,0.9497315707440974,0.8725663716814159,0.18976135488837567,0.31172937085045843
0.9,0.948900305951625,0.8888888888888888,0.16936104695919937,0.28451341739411573
