Feature,Importance
aPowerFactorPF_L2_trend_slope,83.94429779052734
aVoltage_L3_N_z_score,83.82528686523438
aCurrentL3_ks_test_statistic,83.04896545410156
aReactivePower_L3_change_point_score,82.80509185791016
airTotal_diff_mean,82.6874008178711
aActivePower_L3_max,82.29006958007812
aApparentPower_L3_trend_slope,82.08219909667969
aActivePower_L1_ks_test_statistic,82.02995300292969
aApparentPower_L3_diff_std,81.81197357177734
aApparentPower_L2_std,81.76164245605469
aCosPhi_L3_min,81.70697021484375
airTotal_spike_count,81.57779693603516
rTotalApparentPower_min,81.2723159790039
airDurchfluss_abs_energy,80.84917449951172
aVoltage_L3_N_abs_energy,80.54584503173828
aReactivePower_L1_mean,80.5443115234375
airTotal_z_score,80.45660400390625
aApparentPower_L2_max,80.22270202636719
aReactivePower_L3_mean,79.95303344726562
airDurchfluss_range,79.76009368896484
rTotalActivePower_max,79.53488159179688
aCosPhi_L2_min,78.73395538330078
aCosPhi_L3_std,78.5096435546875
aActivePower_L1_abs_energy,78.37400817871094
aApparentPower_L3_min,78.21561431884766
aActivePower_L1_range,78.08811950683594
aCosPhi_L1_diff_std,77.51744842529297
rTotalReactivePower_abs_energy,77.23994445800781
aReactivePower_L2_change_point_score,76.94136810302734
aCurrentL2_diff_mean,76.94048309326172
aReactivePower_L2_range,76.707763671875
aCurrentL3_trend_slope,76.20177459716797
aApparentPower_L1_diff_std,75.75550842285156
aVoltage_L3_N_ks_test_statistic,75.48861694335938
aCurrentL1_z_score,75.33892059326172
aVoltage_L1_N_z_score,75.33279418945312
aVoltage_L2_N_z_score,74.99117279052734
aReactivePower_L2_abs_energy,74.84466552734375
aCosPhi_L1_std,74.50711822509766
aVoltage_L3_N_spike_count,74.42950439453125
rTotalReactivePower_min,74.40413665771484
aReactivePower_L2_diff_std,74.34642791748047
aVoltage_L2_N_ks_test_statistic,74.32479095458984
aApparentPower_L1_mean,73.8279800415039
aCosPhi_L1_diff_mean,73.8167953491211
airTotal_range,73.58074951171875
aApparentPower_L2_skew,72.9446029663086
aReactivePower_L3_max,72.70951080322266
rTotalActivePower_range,72.48157501220703
aReactivePower_L1_change_point_score,72.4483871459961
rTotalActivePower_min,72.27686309814453
aCosPhi_L1_min,72.27252197265625
aCurrentL2_z_score,72.24127197265625
rTotalApparentPower_max,72.1949462890625
aReactivePower_L1_range,72.04590606689453
aActivePower_L3_change_point_score,71.87894439697266
aCurrentL3_change_point_score,71.63237762451172
rTotalApparentPower_range,70.96275329589844
aVoltage_L3_N_max,70.83321380615234
rTotalApparentEnergy_z_score,70.82628631591797
rTotalReactivePower_range,70.80746459960938
airTotal_std,70.70811462402344
airTotal_diff_std,70.68708038330078
aReactivePower_L1_diff_std,70.62352752685547
rTotalApparentEnergy_skew,69.78071594238281
aVoltage_L1_N_skew,69.45038604736328
aCosPhi_L3_range,68.49547576904297
aActivePower_L3_abs_energy,67.95665740966797
rTotalApparentEnergy_trend_slope,67.79559326171875
aCurrentL2_abs_energy,67.44696807861328
aPowerFactorPF_L2_diff_mean,67.36140441894531
aReactivePower_L2_std,67.3307876586914
aPowerFactorPF_L2_change_point_score,67.2289810180664
aActivePower_L2_spike_count,67.16691589355469
aCosPhi_L2_std,66.41425323486328
aActivePower_L3_range,66.16732788085938
aCosPhi_L2_max,65.93896484375
aReactivePower_L3_range,64.23809051513672
aApparentPower_L3_std,63.76750564575195
aCosPhi_L2_diff_mean,63.562355041503906
aActivePower_L3_mean,63.385643005371094
aReactivePower_L3_diff_mean,63.191219329833984
aPowerFactorPF_L2_z_score,63.14500427246094
aApparentPower_L3_diff_mean,63.03968048095703
aActivePower_L3_diff_std,62.78933334350586
aCurrentL1_skew,62.050140380859375
aCosPhi_L1_range,60.73621368408203
rTotalReactivePower_max,60.52680969238281
rTotalReactivePower_change_point_score,60.4992790222168
rTotalApparentPower_trend_slope,60.11861801147461
aCurrentL2_spike_count,59.29987716674805
aActivePower_L1_min,59.293338775634766
aActivePower_L2_std,59.048946380615234
aCurrentL3_skew,58.81406021118164
aReactivePower_L1_std,57.591854095458984
aVoltage_L2_N_change_point_score,56.893951416015625
aApparentPower_L1_abs_energy,56.14285659790039
aReactivePower_L2_spike_count,55.71651077270508
aPowerFactorPF_L2_spike_count,55.6758918762207
rTotalReactivePower_diff_std,55.47144317626953
aCosPhi_L3_spike_count,55.384681701660156
aReactivePower_L3_std,55.351253509521484
aCurrentL1_change_point_score,54.627445220947266
airDurchfluss_max,53.76499938964844
airDurchfluss_std,53.58839797973633
aActivePower_L2_min,53.266658782958984
aVoltage_L1_N_abs_energy,52.71329116821289
aApparentPower_L2_change_point_score,52.20199203491211
aApparentPower_L2_diff_mean,51.74952697753906
aVoltage_L3_N_range,51.35490417480469
rTotalApparentEnergy_change_point_score,50.93766784667969
aCosPhi_L1_spike_count,50.813968658447266
aCosPhi_L2_range,50.592403411865234
aCurrentL3_spike_count,50.44442367553711
aReactivePower_L1_ks_test_statistic,49.698421478271484
aActivePower_L2_skew,49.1978874206543
aVoltage_L3_N_mean,49.158531188964844
aApparentPower_L3_spike_count,47.68045425415039
aActivePower_L1_z_score,46.900394439697266
airTotal_abs_energy,46.60493087768555
aCosPhi_L2_spike_count,46.5294075012207
aApparentPower_L3_range,45.808204650878906
airTotal_change_point_score,45.73123550415039
aReactivePower_L1_trend_slope,45.4022331237793
rTotalApparentEnergy_diff_std,45.33454513549805
aReactivePower_L2_skew,45.32649230957031
aVoltage_L2_N_std,45.08256912231445
rTotalActivePower_abs_energy,45.03632736206055
aReactivePower_L3_z_score,45.0118408203125
rTotalActivePower_spike_count,44.843807220458984
aActivePower_L1_trend_slope,44.78471374511719
aCurrentL1_spike_count,44.23008346557617
rTotalApparentEnergy_spike_count,43.8360710144043
aVoltage_L3_N_diff_mean,43.516876220703125
airDurchfluss_min,43.08835983276367
aVoltage_L2_N_diff_std,43.06111145019531
aActivePower_L3_std,43.043678283691406
aPowerFactorPF_L2_abs_energy,42.85036087036133
aCosPhi_L3_ks_test_statistic,42.812381744384766
aReactivePower_L1_skew,42.60236740112305
aPowerFactorPF_L2_range,42.50383758544922
airDurchfluss_change_point_score,42.117557525634766
aApparentPower_L1_ks_test_statistic,41.4043083190918
rTotalReactiveEnergy_abs_energy,41.085086822509766
rTotalReactivePower_diff_mean,40.873619079589844
aVoltage_L2_N_mean,40.51761245727539
rTotalApparentPower_mean,40.36891174316406
aCosPhi_L2_ks_test_statistic,39.9661750793457
aReactivePower_L3_skew,39.73471450805664
aVoltage_L3_N_skew,39.568939208984375
aActivePower_L3_skew,39.490509033203125
aReactivePower_L3_spike_count,39.48911666870117
aCurrentL1_diff_std,39.23365020751953
aCosPhi_L1_ks_test_statistic,38.83607864379883
aActivePower_L2_trend_slope,38.244503021240234
rTotalApparentPower_ks_test_statistic,37.595149993896484
aActivePower_L3_spike_count,37.395668029785156
aCosPhi_L3_diff_mean,37.351314544677734
aReactivePower_L1_spike_count,36.93010711669922
rTotalActivePower_mean,36.728233337402344
aApparentPower_L2_spike_count,36.407527923583984
aVoltage_L1_N_std,36.14788055419922
aCurrentL2_diff_std,35.86529541015625
aVoltage_L1_N_diff_mean,35.47298812866211
rTotalActivePower_diff_std,35.28630828857422
aCurrentL3_min,34.629791259765625
rTotalReactiveEnergy_min,34.60731887817383
aVoltage_L3_N_diff_std,33.817039489746094
aCurrentL2_min,33.77898025512695
aCurrentL1_min,32.52679443359375
rTotalReactivePower_mean,32.02145767211914
rTotalApparentPower_abs_energy,31.842548370361328
aApparentPower_L2_ks_test_statistic,31.799577713012695
aReactivePower_L2_trend_slope,31.719043731689453
aVoltage_L1_N_min,31.60718536376953
aActivePower_L3_trend_slope,30.560293197631836
rTotalApparentPower_z_score,29.97850227355957
aApparentPower_L3_ks_test_statistic,29.896366119384766
rTotalActivePower_z_score,29.68383026123047
aActivePower_L2_ks_test_statistic,28.634416580200195
aCurrentL2_mean,28.1102294921875
