tsne_1,tsne_2,label
44.975094,71.34973,0
-3.7189188,73.88915,0
41.368946,70.045876,0
41.642963,70.24264,1
15.180436,67.27162,1
14.956701,67.489876,1
40.805927,69.42439,1
43.68603,70.86844,1
15.251681,67.22174,1
14.683672,67.68536,1
14.806064,67.577614,1
45.17228,71.455666,1
44.43211,71.17976,1
14.565232,69.01449,1
-3.5425086,73.93898,1
-3.532931,73.929115,1
40.626522,69.77164,1
40.951694,69.95079,1
40.921494,70.106964,0
40.41351,70.10548,0
44.7228,71.33379,0
42.960285,70.72522,0
44.954174,71.432945,0
-3.326959,73.95121,1
-3.5365412,73.43218,1
41.246765,70.20462,1
15.491154,67.14358,1
-3.5790803,73.87359,1
-3.4492624,73.9333,1
16.440573,64.26793,1
50.300602,72.500854,1
44.696,71.28226,1
15.383165,67.33139,1
15.1815,67.67765,1
45.35096,71.79998,0
-40.664272,66.85363,0
-38.11024,66.90531,0
-30.911858,68.61143,0
-38.69549,67.20033,0
-24.521141,72.23567,0
40.17677,70.28454,0
39.940365,70.47125,0
-3.3492854,73.699135,0
40.635704,69.86405,0
15.696977,67.484406,0
15.619922,68.02144,0
40.798553,70.34946,0
15.701487,67.9655,0
15.892109,68.18582,0
17.860685,69.32952,0
18.015203,69.318886,0
39.517662,70.66578,0
-1.7325697,73.84373,0
-2.4340518,74.12405,0
40.099857,70.45282,0
17.262564,69.47333,0
17.001171,69.50187,0
-37.61343,66.84822,0
-37.622738,66.866196,0
-45.41603,60.673126,0
-72.23301,39.273544,0
-72.14187,39.293766,0
-72.38165,39.513496,0
-44.861782,65.11021,0
-72.40659,39.170383,0
-72.011154,39.39778,0
-71.41095,39.470295,0
-60.429855,41.950443,0
-71.479774,40.195923,0
-71.02873,40.353584,0
-70.12688,40.444588,0
-70.437836,40.444283,0
-46.062904,60.872566,0
-70.727905,40.083126,0
-45.176003,65.05664,0
-60.456726,41.8803,0
-70.1954,38.821606,0
-70.49329,38.701008,0
-71.23861,50.83507,0
-71.58948,50.5362,0
-71.49342,50.5754,0
-71.30453,50.62951,0
-48.601166,63.281597,0
-59.236603,44.137783,0
-47.969944,60.28212,0
-58.681973,44.217384,0
-58.92478,44.263046,0
-56.53033,43.97748,0
-57.974823,44.301563,0
-67.79989,45.68807,0
-71.804794,50.279427,0
-48.934887,63.259533,0
-72.332565,49.952515,0
-72.3768,49.654163,0
-72.40454,49.745407,0
-60.11024,42.452408,0
-59.07515,45.17186,0
-55.008564,44.68541,0
-55.806824,44.644745,0
-54.126698,44.841454,0
-57.591,44.97913,0
-55.080536,45.7475,0
-55.445473,45.787518,0
-57.39586,45.59726,0
-49.93134,62.77405,0
-56.575573,45.719376,0
-57.316883,45.615757,0
-46.824203,63.913708,0
-57.82203,44.06437,0
-59.5964,44.192463,0
