,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
airDurchfluss_trend_slope,0.00687649087825021,0.00714574567364501,0.010696576194764449,65.0,65.0,109.0,79.66666666666667
aReactivePower_L1_trend_slope,0.006644502665036507,0.008928151047050914,0.006977612689092602,73.0,55.0,111.0,79.66666666666667
airTempeatur_ks_test_statistic,0.0,0.03916171432909277,4.417627900522498e-17,117.0,8.0,114.0,79.66666666666667
aVoltage_L1_N_spectral_flatness,0.00589361978562748,0.003864121894421979,0.29642548981277567,89.0,93.0,58.0,80.0
airTotal_welch_total_power,0.006690702304277592,0.006160239259427103,0.08894828185747336,71.0,69.0,100.0,80.0
rTotalReactiveEnergy_welch_total_power,0.0008237094775522985,0.0049479741164404345,0.30778525784062727,110.0,82.0,51.0,81.0
aVoltage_L1_N_ks_test_statistic,0.0,0.030605504514618076,0.0,117.0,10.0,117.5,81.5
rTotalReactiveEnergy_welch_peak_power,0.0009101693726400027,0.0038018872832272788,0.3192122437973334,109.0,94.0,42.0,81.66666666666667
rTotalApparentEnergy_ks_test_statistic,0.0,0.03050595090489594,0.0,117.0,11.0,117.5,81.83333333333333
aVoltage_L2_N_freq_energy_ratio_low_high,0.006956436732223726,0.002941154256374201,0.23156522184782022,63.0,102.0,81.0,82.0
aVoltage_L2_N_spectral_peak,0.005521077412214228,0.002005862013603421,0.3251181095772312,96.0,117.0,35.0,82.66666666666667
airTotal_ks_test_statistic,0.0,0.029753324041273066,0.0,117.0,14.0,117.5,82.83333333333333
aVoltage_L1_N_freq_energy_ratio_low_high,0.00717990959645187,0.0029156386212179086,0.21713735659328245,59.0,104.0,86.0,83.0
aVoltage_L2_N_ks_test_statistic,0.0,0.029477709232404337,0.0,117.0,15.0,117.5,83.16666666666667
rTotalApparentEnergy_welch_total_power,0.007442725564194706,0.003257634369673079,0.0943705603341359,55.0,98.0,97.0,83.33333333333333
aVoltage_L3_N_ks_test_statistic,0.0,0.028907782180172648,0.0,117.0,16.0,117.5,83.5
rTotalReactiveEnergy_ks_test_statistic,0.0,0.028843061995378116,0.0,117.0,17.0,117.5,83.83333333333333
airTotal_dominant_frequency,0.0032273488097886156,0.005407348350629171,0.24569463717993095,105.0,77.0,74.0,85.33333333333333
rTotalApparentEnergy_spectral_flatness,0.006543626644803341,0.004828379251311965,0.11941866080016758,76.0,85.0,96.0,85.66666666666667
aReactivePower_L2_dominant_frequency,0.004892516264832822,0.004643582050306128,0.237038801820287,98.0,86.0,77.0,87.0
rTotalReactiveEnergy_dominant_frequency,0.004758223228308451,0.00597652006972349,0.17533956597414782,99.0,71.0,93.0,87.66666666666667
aVoltage_L2_N_skew,0.007030436797755274,0.0026408470980121557,0.0909532027694911,61.0,110.0,98.0,89.66666666666667
aReactivePower_L1_dominant_frequency,0.005305814220399545,0.005249517642954782,0.18423252688029096,97.0,81.0,92.0,90.0
rTotalReactiveEnergy_change_point_score,0.00020522816804826655,0.0019058423510145417,0.31019186295002565,111.0,118.0,47.0,92.0
airTotal_skew,0.006214763136512518,0.005290079466088171,0.005532370044573657,85.0,80.0,112.0,92.33333333333333
aVoltage_L3_N_skew,0.006818975990904924,0.002596351890550741,0.08965092247848092,68.0,111.0,99.0,92.66666666666667
rTotalApparentEnergy_skew,0.006612519453983457,0.0034494360681271985,0.007348355409659664,74.0,95.0,110.0,93.0
aVoltage_L2_N_trend_slope,0.006671596945448214,0.002940476017496474,0.022483557500501607,72.0,103.0,106.0,93.66666666666667
aVoltage_L1_N_trend_slope,0.006347376839991191,0.0030800266381278973,0.024176373793026302,81.0,100.0,104.0,95.0
aVoltage_L1_N_dominant_frequency,0.003591619390422826,0.0014023842624326655,0.28103016861472313,103.0,120.0,67.0,96.66666666666667
aVoltage_L3_N_trend_slope,0.00638455061363759,0.002260361662470345,0.0220709303503595,79.0,114.0,107.0,100.0
aVoltage_L1_N_skew,0.006292068531887804,0.0020560428130691477,0.0860250367764089,83.0,116.0,102.0,100.33333333333333
rTotalReactiveEnergy_skew,0.001156460308560246,0.00494502529769103,0.0032296527853727616,108.0,83.0,113.0,101.33333333333333
airDurchfluss_dominant_frequency,0.005559961679755957,0.0022470502832161454,0.06610914193912339,95.0,115.0,103.0,104.33333333333333
