threshold,accuracy,precision,recall,f1
0.1,0.2978256557742847,0.10753145992998392,0.9930100480559196,0.19404960088786444
0.11,0.3132716814598106,0.10946050344427992,0.9903888160768894,0.1971332917868375
0.12000000000000001,0.33283334159765954,0.11174875136440314,0.9839813601281491,0.2007039638810093
0.13,0.3543784400257847,0.11433348118325429,0.9759720401922237,0.20468809651065129
0.14,0.3800143799276045,0.11759492324600276,0.9660696082714432,0.20966798881180765
0.15000000000000002,0.407881687905985,0.12113239708007559,0.9520897043832823,0.21492085928896631
0.16,0.4374597114097288,0.12509248082239788,0.9356341925149264,0.22068041697435986
0.17,0.46758318044329844,0.129487390125688,0.9181593126547255,0.22696592811245703
0.18,0.4985000247929786,0.1340698130474572,0.8960244648318043,0.23324046170466822
0.19,0.5297639708434572,0.13938802990202906,0.8743264890053881,0.24044372359384072
0.2,0.5596643030693708,0.14514291375637786,0.8533566331731469,0.248089583201033
0.21000000000000002,0.5881638320027768,0.15067730562256448,0.8277268093781855,0.2549450549450549
0.22,0.6153617295581891,0.1563842193588759,0.8006407455948741,0.26166000380734816
0.23,0.6400927257400704,0.16233014441533117,0.7758846657929227,0.26848749023658947
0.24000000000000002,0.6627906976744186,0.16747882395264416,0.745740498034076,0.2735284691806431
0.25,0.6849556205682551,0.1736406827379905,0.7185088102519295,0.27968936001360467
0.26,0.706488322507066,0.18104887674559805,0.6947720984418232,0.287245251211656
0.27,0.7262359299846284,0.18821456378314141,0.6688510266491918,0.29376399104573075
0.28,0.7452397481033372,0.1959921798631476,0.6423474588612204,0.30034385319851564
0.29000000000000004,0.7629791243119949,0.20484655778773425,0.6191932430464541,0.30784824790037646
0.30000000000000004,0.7786110973372341,0.21312245537112434,0.5945827872433377,0.31377521613832854
0.31,0.7931397828135072,0.22156062152659634,0.5689529634483763,0.3189257581323211
0.32,0.807048643824069,0.23151006297073712,0.54608999563128,0.3251680034684587
0.33,0.8196310804780086,0.24199073141245214,0.5246832678025338,0.33121897407611695
0.33999999999999997,0.8307631278821838,0.2523541864369662,0.5034221639726227,0.33618593795584945
0.35,0.8402216492289384,0.26163711209626345,0.4812873161497015,0.3389917431663162
0.36,0.8494198443000942,0.27237454733574756,0.4600262123197903,0.3421608448415922
0.37,0.858010611394853,0.2840598813671029,0.43934760448521915,0.3450365965233303
0.38,0.8649278524321912,0.2944177977344627,0.4201252366389981,0.34621384855394216
0.39,0.8714360093221599,0.3057649667405765,0.4016309887869521,0.34720211493674075
0.4,0.8780681311052709,0.3208640038614698,0.3872142129022863,0.3509304474066253
0.41000000000000003,0.8839068775722715,0.3358738501971091,0.3722149410222805,0.3531118325619949
0.42000000000000004,0.8883696137253929,0.3475470621791215,0.3548856851609145,0.3511780387635997
0.43000000000000005,0.8920761640303466,0.35886415963161933,0.34046890927624873,0.34942460020923627
0.44000000000000006,0.89554718103833,0.37181384640684095,0.3292558613659531,0.3492431263515601
0.45000000000000007,0.899166955918084,0.38689519728619887,0.31556720547546235,0.3476098812961181
0.45999999999999996,0.9017082362275004,0.398119723714505,0.3021697975826416,0.34357148770593593
0.47,0.9037412604750334,0.407498969921714,0.28804426969564584,0.33751386400477773
0.48,0.9060098180195368,0.4213075060532688,0.27872433377020533,0.3354951796669588
0.49,0.9079312738632419,0.4341486359360301,0.2688219018494248,0.33204424858350573
0.5,0.9097287648138047,0.4478774177342376,0.2596475899228193,0.3287241887905605
0.51,0.9111295681063123,0.45958244111349034,0.2500364059997088,0.32387060265962464
0.52,0.9126543362919621,0.4744358754641531,0.24188146206494832,0.32040895061728397
0.53,0.9134972975653295,0.48321741759903236,0.2327071501383428,0.3141340672301946
0.54,0.9144766202211534,0.4948717948717949,0.22484345420125237,0.3092019625513167
0.55,0.9153939604304061,0.5071283095723014,0.21756225425950196,0.3044940385203302
0.56,0.9163113006396588,0.5209537572254336,0.20998980632008155,0.29932537623248573
0.5700000000000001,0.9169683145733128,0.5324625432193623,0.2018348623853211,0.29271383315733895
0.58,0.9177740863787376,0.547911547911548,0.19484491044124072,0.28746374476313247
0.59,0.9183815143551346,0.5611231101511879,0.1891655744866754,0.28294489218035285
0.6,0.9187782020131898,0.5714285714285714,0.1834862385321101,0.2777777777777778
0.61,0.9190261317994743,0.5799522673031027,0.17693315858453473,0.27114483374246817
0.62,0.9195343878613577,0.5945674044265593,0.17212756662297946,0.26696781479390175
0.63,0.9197451281796996,0.6043547530536378,0.1657201106742391,0.2601142857142857
0.64,0.9198319036048991,0.6121076233183856,0.15902140672782875,0.2524563634261935
0.65,0.9199186790300987,0.6209150326797386,0.15217707878258338,0.24444444444444444
0.66,0.9201666088163832,0.6347003154574132,0.14649774282801806,0.23805016564126835
0.67,0.9205261070064957,0.6528150134048257,0.1418377748652978,0.23304222993181004
0.6799999999999999,0.9205632964744385,0.6626506024096386,0.13615843891073248,0.22589997583957477
0.69,0.920650071899638,0.6746626686656672,0.1310615989515072,0.21948542860626752
0.7,0.9206996578568949,0.6871019108280255,0.1256735109946119,0.2124830727563708
0.71,0.9208484157286656,0.7018425460636516,0.12203291102373671,0.20791465078774346
0.72,0.9209351911538652,0.7169476486246673,0.11766419105868647,0.2021516137102827
0.73,0.921145931472207,0.7355679702048417,0.11504295907965632,0.1989673844603954
0.74,0.9212079139187782,0.7517241379310344,0.1111111111111111,0.1936056838365897
0.75,0.9211831209401498,0.7648283038501561,0.10703363914373089,0.18778742973939705
0.76,0.9211335349828929,0.7783902976846747,0.10281054317751566,0.1816310779521482
0.77,0.9211087420042644,0.7941520467836257,0.09887869520897044,0.17586117586117586
