number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
41,0.3827618164967563,2025-10-19 17:41:40.996225,2025-10-19 17:42:07.017232,0 days 00:00:26.021007,True,3,20,15,10,300,COMPLETE
42,0.37144108628996936,2025-10-19 17:42:07.017918,2025-10-19 17:42:38.501015,0 days 00:00:31.483097,True,4,20,15,10,300,COMPLETE
43,0.36942112240388864,2025-10-19 17:42:38.501614,2025-10-19 17:42:51.428028,0 days 00:00:12.926414,True,3,10,10,10,300,COMPLETE
44,0.24189484293633462,2025-10-19 17:42:51.429032,2025-10-19 17:43:27.913098,0 days 00:00:36.484066,True,5,20,15,10,300,COMPLETE
45,0.2457221081451061,2025-10-19 17:43:27.917602,2025-10-19 17:44:29.180519,0 days 00:01:01.262917,True,6,30,10,35,350,COMPLETE
46,0.36942112240388864,2025-10-19 17:44:29.184151,2025-10-19 17:44:45.387535,0 days 00:00:16.203384,True,3,10,15,10,300,COMPLETE
47,0.3757523645743766,2025-10-19 17:44:45.388179,2025-10-19 17:45:06.595179,0 days 00:00:21.207000,True,4,20,20,10,350,COMPLETE
48,0.24073133570340274,2025-10-19 17:45:06.598525,2025-10-19 17:46:03.035718,0 days 00:00:56.437193,True,5,30,15,10,400,COMPLETE
49,0.3757523645743766,2025-10-19 17:46:03.036528,2025-10-19 17:46:39.196276,0 days 00:00:36.159748,True,4,20,20,35,350,COMPLETE
50,0.36382464618570937,2025-10-19 17:46:39.196911,2025-10-19 17:47:02.615468,0 days 00:00:23.418557,True,4,20,20,10,250,COMPLETE
51,0.3757523645743766,2025-10-19 17:47:02.616138,2025-10-19 17:47:29.220805,0 days 00:00:26.604667,True,4,20,20,35,350,COMPLETE
52,0.35904344897271806,2025-10-19 17:47:29.221566,2025-10-19 17:47:57.058215,0 days 00:00:27.836649,True,3,30,20,10,350,COMPLETE
53,0.37706342311033886,2025-10-19 17:47:57.058823,2025-10-19 17:48:29.235567,0 days 00:00:32.176744,True,4,20,15,35,300,COMPLETE
54,0.24363889857093063,2025-10-19 17:48:29.239100,2025-10-19 17:49:14.346037,0 days 00:00:45.106937,True,6,30,15,35,300,COMPLETE
55,0.25,2025-10-19 17:49:14.346716,2025-10-19 17:49:46.337639,0 days 00:00:31.990923,True,5,20,10,10,250,COMPLETE
56,0.36942112240388864,2025-10-19 17:49:46.339249,2025-10-19 17:50:04.453874,0 days 00:00:18.114625,True,3,10,15,10,300,COMPLETE
57,0.2525918944392083,2025-10-19 17:50:04.457622,2025-10-19 17:50:53.230210,0 days 00:00:48.772588,True,4,50,15,35,300,COMPLETE
58,0.3827618164967563,2025-10-19 17:50:53.234122,2025-10-19 17:51:19.666718,0 days 00:00:26.432596,True,3,20,10,35,300,COMPLETE
59,0.36927348449791764,2025-10-19 17:51:19.667309,2025-10-19 17:51:44.745762,0 days 00:00:25.078453,True,3,30,10,35,300,COMPLETE
60,0.3770334928229665,2025-10-19 17:51:44.746119,2025-10-19 17:51:59.864177,0 days 00:00:15.118058,True,3,20,10,35,250,COMPLETE
61,0.3770334928229665,2025-10-19 17:51:59.864763,2025-10-19 17:52:20.996518,0 days 00:00:21.131755,True,3,20,10,35,250,COMPLETE
62,0.3827618164967563,2025-10-19 17:52:20.997136,2025-10-19 17:52:40.875387,0 days 00:00:19.878251,True,3,20,10,35,300,COMPLETE
63,0.3680890538033395,2025-10-19 17:52:40.876089,2025-10-19 17:52:53.588052,0 days 00:00:12.711963,True,2,10,10,35,300,COMPLETE
64,0.3816466552315609,2025-10-19 17:52:53.589042,2025-10-19 17:53:19.554340,0 days 00:00:25.965298,True,4,20,10,60,300,COMPLETE
65,0.3827618164967563,2025-10-19 17:53:19.555110,2025-10-19 17:53:43.606625,0 days 00:00:24.051515,True,3,20,10,60,300,COMPLETE
66,0.35625,2025-10-19 17:53:43.608558,2025-10-19 17:54:08.504822,0 days 00:00:24.896264,True,2,30,10,60,300,COMPLETE
67,0.39660056657223797,2025-10-19 17:54:08.505440,2025-10-19 17:54:47.168187,0 days 00:00:38.662747,True,3,60,10,85,250,COMPLETE
68,0.356,2025-10-19 17:54:47.168803,2025-10-19 17:55:17.139417,0 days 00:00:29.970614,True,3,40,10,85,250,COMPLETE
69,0.1662870159453303,2025-10-19 17:55:17.140055,2025-10-19 17:56:49.661245,0 days 00:01:32.521190,True,10,70,10,85,200,COMPLETE
