tsne_1,tsne_2,label
13.743971,-118.85934,0
12.123461,-120.15061,0
-3.600386,-116.44765,0
-2.3672962,-117.187996,0
-84.25646,23.655848,0
-4.4645762,-117.64208,0
-1.9288073,-116.53496,0
-1.9120512,-116.59158,0
-1.808793,-116.56315,0
-1.9493297,-116.54118,0
8.787727,-120.14798,0
13.885369,-118.887436,0
14.998804,-121.157234,0
14.863998,-121.346794,0
10.598092,-120.34069,0
2.1781747,-119.71923,0
3.6784437,-119.39655,0
3.5499206,-119.3112,0
4.121664,-118.81555,0
3.0114357,-119.33822,0
3.3065522,-119.28312,0
1.8788217,-119.64142,0
1.9952528,-119.20746,0
0.70836294,-119.19581,0
10.701695,-120.35874,0
14.649498,-121.265015,0
14.7693205,-121.532616,0
10.43207,-120.30679,0
1.8861091,-119.699554,0
3.7729735,-119.01589,0
5.0537634,-118.856575,0
3.3348794,-118.15449,0
2.8578203,-117.955864,0
4.249802,-118.24938,0
0.75833654,-119.10367,0
2.9038186,-117.91375,0
12.715249,-120.85471,0
14.914065,-120.989136,0
14.994158,-121.08298,0
15.005787,-121.12326,0
2.5311923,-117.86013,0
2.6241195,-117.97298,0
2.3963416,-117.98433,0
1.4954895,-118.490135,0
1.4306513,-118.55409,0
0.9706874,-119.01511,0
1.208803,-118.99304,0
1.6475728,-118.72212,0
-4.0308414,-121.42414,0
-4.230551,-121.51587,0
13.987941,-120.54415,0
14.733317,-121.12017,0
13.872067,-120.50235,0
-3.50435,-121.50524,0
1.0610992,-119.07243,0
4.1358876,-118.411095,0
-4.1707654,-116.40785,0
-5.2342677,-116.88729,0
-5.3655715,-116.9381,0
-5.3656006,-116.933426,0
-5.36555,-116.924484,0
-5.3587956,-116.919365,0
12.69798,-117.6994,0
12.696498,-117.70032,0
12.697106,-117.69718,0
12.509777,-117.51592,0
-5.3682384,-116.936615,0
-4.362678,-120.47754,0
-3.133307,-121.40033,0
-3.5954854,-121.528656,0
-3.4518838,-121.56076,0
1.1996641,-119.43658,0
3.8555222,-118.85396,0
2.9377575,-119.529816,0
2.5452354,-119.69279,0
7.430491,-120.36559,0
14.25307,-120.95473,0
14.499308,-121.18235,0
12.920762,-120.51678,0
-2.929152,-115.94965,0
-3.2471545,-116.194565,0
-3.4368756,-116.12434,0
-2.9590802,-115.75675,0
1.1198043,-119.758194,0
2.629611,-119.93837,0
-3.3249803,-121.46995,0
-4.217959,-121.53192,0
8.032044,-120.331825,0
13.636762,-120.323204,0
14.025289,-120.82735,0
14.276437,-121.04519,0
9.685722,-120.86972,0
-4.2501345,-121.52638,0
-3.166605,-121.43837,0
1.3476981,-119.00768,0
0.5954232,-119.29,0
1.2059449,-119.15838,0
0.857134,-119.20378,0
-3.9656544,-116.23489,0
-3.1731184,-116.15558,0
-4.280053,-121.10171,0
-5.160093,-116.878494,0
12.748463,-117.77967,0
13.58484,-118.67657,0
12.7032585,-118.73962,0
-3.845307,-121.37564,0
0.89138496,-119.00853,0
-2.7292414,-116.14659,0
-2.74952,-116.02216,0
-2.9637556,-115.968636,0
-2.7540605,-117.059525,0
1.4176245,-118.77666,0
-3.4193826,-121.43888,0
8.254074,-120.31919,0
14.596033,-121.13226,0
14.255511,-120.941605,0
14.672998,-121.40119,0
10.162577,-120.275055,0
0.974439,-119.688866,0
-3.1408231,-117.324425,0
-2.9153862,-117.042725,0
2.4265285,-121.28165,0
-4.2143555,-121.576965,0
-3.4417825,-121.574455,0
3.380213,-120.677536,0
2.920724,-121.94658,0
5.059867,-121.17519,0
10.332079,-119.951904,0
12.9228325,-118.00411,0
13.737198,-118.69192,0
10.761904,-119.77523,0
-4.685723,-116.73811,0
-3.3437266,-115.706726,0
-3.323494,-115.62824,0
-2.8504367,-115.697876,0
-3.7576394,-116.51313,0
-4.0457206,-121.60306,0
4.7364388,-120.75944,0
