[2025-05-11 18:54:10,516] [INFO] [<frozen importlib] - Loading energy data from Data/interim/Energy_time_series/contact_20250509_093729/part.0.parquet
[2025-05-11 18:54:13,858] [INFO] [<frozen importlib] - Using 31 CPU cores for parallel processing
[2025-05-11 18:54:21,151] [INFO] [<frozen importlib] - Processing segment 0.0
[2025-05-11 18:54:21,612] [INFO] [<frozen importlib] - Processing segment 4.0
[2025-05-11 18:54:21,690] [INFO] [<frozen importlib] - Processing segment 11.0
[2025-05-11 18:54:21,723] [INFO] [<frozen importlib] - Processing segment 7.0
[2025-05-11 18:54:21,971] [INFO] [<frozen importlib] - Processing segment 16.0
[2025-05-11 18:54:22,091] [INFO] [<frozen importlib] - Processing segment 19.0
[2025-05-11 18:54:22,204] [INFO] [<frozen importlib] - Processing segment 23.0
[2025-05-11 18:54:22,297] [INFO] [<frozen importlib] - Processing segment 30.0
[2025-05-11 18:54:22,447] [INFO] [<frozen importlib] - Processing segment 13.0
[2025-05-11 18:54:22,664] [INFO] [<frozen importlib] - Processing segment 14.0
[2025-05-11 18:54:22,736] [INFO] [<frozen importlib] - Processing segment 33.0
[2025-05-11 18:54:22,803] [INFO] [<frozen importlib] - Processing segment 36.0
[2025-05-11 18:54:22,941] [INFO] [<frozen importlib] - Processing segment 39.0
[2025-05-11 18:54:23,080] [INFO] [<frozen importlib] - Processing segment 42.0
[2025-05-11 18:54:23,219] [INFO] [<frozen importlib] - Processing segment 45.0
[2025-05-11 18:54:23,265] [INFO] [<frozen importlib] - Processing segment 48.0
[2025-05-11 18:54:23,278] [INFO] [<frozen importlib] - Processing segment 51.0
[2025-05-11 18:54:23,294] [INFO] [<frozen importlib] - Processing segment 54.0
[2025-05-11 18:54:23,422] [INFO] [<frozen importlib] - Processing segment 58.0
[2025-05-11 18:54:23,468] [INFO] [<frozen importlib] - Processing segment 64.0
[2025-05-11 18:54:23,659] [INFO] [<frozen importlib] - Processing segment 2.0
[2025-05-11 18:54:23,771] [INFO] [<frozen importlib] - Processing segment 69.0
[2025-05-11 18:54:23,893] [INFO] [<frozen importlib] - Processing segment 72.0
[2025-05-11 18:54:23,899] [INFO] [<frozen importlib] - Processing segment 76.0
[2025-05-11 18:54:23,906] [INFO] [<frozen importlib] - Processing segment 81.0
[2025-05-11 18:54:24,104] [INFO] [<frozen importlib] - Processing segment 85.0
[2025-05-11 18:54:24,241] [INFO] [<frozen importlib] - Processing segment 88.0
[2025-05-11 18:54:24,328] [INFO] [<frozen importlib] - Processing segment 91.0
[2025-05-11 18:54:24,459] [INFO] [<frozen importlib] - Processing segment 56.0
[2025-05-11 18:54:24,534] [INFO] [<frozen importlib] - Processing segment 95.0
[2025-05-11 18:54:25,083] [INFO] [<frozen importlib] - Processing segment 101.0
[2025-05-11 18:54:25,084] [INFO] [<frozen importlib] - Processing segment 98.0
