number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
41,0.3933588761174968,2025-10-19 17:44:33.481186,2025-10-19 17:45:00.663923,0 days 00:00:27.182737,True,2,40,15,85,300,COMPLETE
42,0.28453267162944584,2025-10-19 17:45:00.664273,2025-10-19 17:45:22.820530,0 days 00:00:22.156257,True,2,50,15,85,250,COMPLETE
43,0.04899154629567996,2025-10-19 17:45:22.821270,2025-10-19 17:45:59.116940,0 days 00:00:36.295670,True,3,40,15,60,300,COMPLETE
44,0.33744075829383885,2025-10-19 17:45:59.118436,2025-10-19 17:46:22.876801,0 days 00:00:23.758365,True,1,40,30,85,350,COMPLETE
45,0.24728105323411562,2025-10-19 17:46:22.877407,2025-10-19 17:46:46.798561,0 days 00:00:23.921154,True,2,30,20,110,350,COMPLETE
46,0.3933588761174968,2025-10-19 17:46:46.802677,2025-10-19 17:47:15.021505,0 days 00:00:28.218828,True,2,40,20,10,300,COMPLETE
47,0.047989707301383085,2025-10-19 17:47:15.025458,2025-10-19 17:47:55.043414,0 days 00:00:40.017956,True,4,50,10,35,250,COMPLETE
48,0.0493496043985517,2025-10-19 17:47:55.047635,2025-10-19 17:49:14.351972,0 days 00:01:19.304337,True,3,70,15,60,400,COMPLETE
49,0.048132137557261756,2025-10-19 17:49:14.352649,2025-10-19 17:50:11.718902,0 days 00:00:57.366253,True,6,30,15,85,350,COMPLETE
50,0.3308550185873606,2025-10-19 17:50:11.722682,2025-10-19 17:50:29.353359,0 days 00:00:17.630677,True,1,40,10,85,300,COMPLETE
51,0.3933588761174968,2025-10-19 17:50:29.357588,2025-10-19 17:50:56.932503,0 days 00:00:27.574915,True,2,40,15,85,300,COMPLETE
52,0.2838283828382838,2025-10-19 17:50:56.935561,2025-10-19 17:51:28.689517,0 days 00:00:31.753956,True,2,50,15,85,300,COMPLETE
53,0.39290586630286495,2025-10-19 17:51:28.690140,2025-10-19 17:51:47.478585,0 days 00:00:18.788445,True,2,40,15,60,250,COMPLETE
54,0.04952893674293405,2025-10-19 17:51:47.479329,2025-10-19 17:52:19.247426,0 days 00:00:31.768097,True,3,30,20,110,350,COMPLETE
55,0.3308550185873606,2025-10-19 17:52:19.248025,2025-10-19 17:52:38.363821,0 days 00:00:19.115796,True,1,40,10,85,300,COMPLETE
56,0.0499457111834962,2025-10-19 17:52:38.364168,2025-10-19 17:53:20.846561,0 days 00:00:42.482393,True,3,50,15,60,350,COMPLETE
57,0.37027379400260757,2025-10-19 17:53:20.847184,2025-10-19 17:53:34.654171,0 days 00:00:13.806987,True,2,40,25,110,100,COMPLETE
58,0.27405247813411077,2025-10-19 17:53:34.654829,2025-10-19 17:53:48.897088,0 days 00:00:14.242259,True,1,60,15,35,200,COMPLETE
59,0.05113091158327621,2025-10-19 17:53:48.898077,2025-10-19 17:54:42.055746,0 days 00:00:53.157669,True,7,20,20,85,400,COMPLETE
60,0.04969279589494295,2025-10-19 17:54:42.056505,2025-10-19 17:55:09.797685,0 days 00:00:27.741180,True,3,30,10,110,250,COMPLETE
61,0.3933588761174968,2025-10-19 17:55:09.799876,2025-10-19 17:55:34.198029,0 days 00:00:24.398153,True,2,40,20,10,300,COMPLETE
62,0.3933588761174968,2025-10-19 17:55:34.199033,2025-10-19 17:56:05.673289,0 days 00:00:31.474256,True,2,40,20,10,300,COMPLETE
63,0.3933588761174968,2025-10-19 17:56:05.673998,2025-10-19 17:56:36.810451,0 days 00:00:31.136453,True,2,40,20,10,300,COMPLETE
64,0.33744075829383885,2025-10-19 17:56:36.813543,2025-10-19 17:56:51.574894,0 days 00:00:14.761351,True,1,40,15,35,350,COMPLETE
65,0.04989492237814386,2025-10-19 17:56:51.575497,2025-10-19 17:57:20.011701,0 days 00:00:28.436204,True,3,50,25,10,300,COMPLETE
66,0.24728105323411562,2025-10-19 17:57:20.015327,2025-10-19 17:57:36.603483,0 days 00:00:16.588156,True,2,30,15,35,350,COMPLETE
67,0.08581591818586039,2025-10-19 17:57:36.603802,2025-10-19 17:57:49.348382,0 days 00:00:12.744580,True,4,10,20,85,300,COMPLETE
68,0.33744075829383885,2025-10-19 17:57:49.349064,2025-10-19 17:58:04.227681,0 days 00:00:14.878617,True,1,40,20,85,350,COMPLETE
69,0.2838283828382838,2025-10-19 17:58:04.232097,2025-10-19 17:58:26.722171,0 days 00:00:22.490074,True,2,50,15,60,300,COMPLETE
