number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.047075156180980626,2025-10-19 15:16:07.775051,2025-10-19 15:16:19.717243,0 days 00:00:11.942192,True,9,30,20,110,150,COMPLETE
1,0.27405247813411077,2025-10-19 15:16:19.717608,2025-10-19 15:16:22.719868,0 days 00:00:03.002260,True,1,60,25,135,100,COMPLETE
2,0.04685929648241206,2025-10-19 15:16:22.721347,2025-10-19 15:16:31.312537,0 days 00:00:08.591190,True,9,30,15,110,100,COMPLETE
3,0.04971965142200905,2025-10-19 15:16:31.313446,2025-10-19 15:16:36.070180,0 days 00:00:04.756734,True,3,40,20,85,100,COMPLETE
4,0.27365356622998543,2025-10-19 15:16:36.070522,2025-10-19 15:16:42.429753,0 days 00:00:06.359231,True,1,50,15,35,250,COMPLETE
5,0.3704474505723205,2025-10-19 15:16:42.430084,2025-10-19 15:16:46.924737,0 days 00:00:04.494653,True,1,30,20,85,250,COMPLETE
6,0.037145462398617844,2025-10-19 15:16:46.925075,2025-10-19 15:16:54.591419,0 days 00:00:07.666344,True,1,70,30,10,250,COMPLETE
7,0.04989492237814386,2025-10-19 15:16:54.592888,2025-10-19 15:17:10.585549,0 days 00:00:15.992661,True,3,50,25,10,300,COMPLETE
8,0.04750382068262863,2025-10-19 15:17:10.586293,2025-10-19 15:17:17.503968,0 days 00:00:06.917675,True,5,40,30,10,100,COMPLETE
9,0.04969279589494295,2025-10-19 15:17:17.504761,2025-10-19 15:17:26.590665,0 days 00:00:09.085904,True,3,30,20,85,250,COMPLETE
10,0.047756225593752,2025-10-19 15:17:26.590984,2025-10-19 15:17:44.107769,0 days 00:00:17.516785,True,7,40,10,60,200,COMPLETE
11,0.037145462398617844,2025-10-19 15:17:44.108328,2025-10-19 15:17:50.700848,0 days 00:00:06.592520,True,1,70,25,135,200,COMPLETE
12,0.04767077768547511,2025-10-19 15:17:50.702129,2025-10-19 15:18:18.877623,0 days 00:00:28.175494,True,5,60,25,135,300,COMPLETE
13,0.05880942868557731,2025-10-19 15:18:18.878310,2025-10-19 15:18:23.003321,0 days 00:00:04.125011,True,1,60,15,110,150,COMPLETE
14,0.04931323283082077,2025-10-19 15:18:23.004412,2025-10-19 15:18:32.695334,0 days 00:00:09.690922,True,3,60,25,60,150,COMPLETE
15,0.27345454545454545,2025-10-19 15:18:32.696129,2025-10-19 15:18:39.597820,0 days 00:00:06.901691,True,1,60,20,135,250,COMPLETE
