feature,ks_statistic,p_value,is_drifted,mean_train,std_train,min_train,max_train,median_train,q25_train,q75_train,skew_train,mean_val,std_val,min_val,max_val,median_val,q25_val,q75_val,skew_val,mean_rel_diff,std_rel_diff
rTotalReactiveEnergy,1.0,0.0,True,4639297.6162,4351.051984753951,4619340.0,4642340.0,4640220.0,4640080.0,4641060.0,-3.008027324454857,4596880.922,5217.121828893569,4594760.0,4619330.0,4595030.0,4594960.0,4595080.0,2.819412426108407,0.009142912938347502,0.19904837891441632
rTotalApparentEnergy,0.99996,0.0,True,93366339.716,1209801.1098850481,91579100.0,95475500.0,93355000.0,92248375.0,94432000.0,0.07567343259800059,89855601.37,1196184.1874039404,87734700.0,91579100.0,89922600.0,88787575.0,90962625.0,-0.13089827039045535,0.0376017562290532,0.011255505032890478
airTotal,0.86929,0.0,True,69681.02761700001,1627.9972814307414,0.0,72338.3,69654.15,68059.2,71303.25,-0.6987654658202808,65417.60220699999,1600.702348419378,62691.9,67558.5,65591.3,63970.375,66946.3,-0.10493819590564565,0.061184881391721464,0.016765957365240773
aVoltage_L3_N,0.32567,0.0,True,228.84992389,2.7422833665356126,218.459,238.77,228.383,226.827,230.667,0.5207620722349602,227.20140933,4.17166550488049,213.161,239.68,226.43,223.898,230.10725,0.43057807305040013,0.0072034743639258145,0.5212379400959823
aVoltage_L2_N,0.32172,0.0,True,228.74294427,2.5936361465072104,218.71,238.064,228.365,226.839,230.454,0.460220349492017,227.11113508000003,3.9817870995896376,212.911,239.01,226.478,223.972,229.8,0.4030493156980855,0.007133812127566727,0.5352142202365878
aVoltage_L1_N,0.31665,0.0,True,228.09268751,3.109687520440719,217.609,240.488,227.4565,225.785,230.127,0.6018380617942723,226.56990099000004,4.857910349374167,211.547,241.469,225.548,222.717,229.572,0.5798707619964917,0.006676174219160054,0.5621860112374963
aApparentPower_L3,0.30211,0.0,True,898.719468,255.80006597619243,271.767,1458.41,983.404,922.4367500000001,1029.81,-1.6896896360700162,849.6275567900001,244.87914792663355,277.688,1381.68,929.8955,877.85375,973.3705,-1.5938101545076708,0.054624288176044804,0.04269317917278554
airTempeatur,0.2995,0.0,True,26.017954999999997,0.7522080670564237,0.0,28.7,26.2,25.4,26.5,-0.6452425284950455,25.847520000000003,0.5386302542797872,24.1,28.3,25.9,25.6,26.1,-0.45144487236512454,0.006550668564631134,0.2839344847404715
aReactivePower_L3,0.29381000000000007,0.0,True,41.18651110213453,66.02448775512798,-145.97,392.488,48.34805,20.750500000000002,72.20765,0.4197750646234862,17.374873998615534,58.17337878993044,-166.044,394.403,22.97285,-3.79841,44.631600000000006,0.9805819801263894,0.5781416405650227,0.1189120768816361
aCurrentL3,0.26174000000000003,0.0,True,3.932768487,1.12537915874071,1.17619,6.41246,4.3058250000000005,4.0548575,4.49181,-1.7010299292860604,3.7530845022999997,1.0983121959350117,1.18868,6.14318,4.113055,3.8993425,4.3007625,-1.609241627155388,0.0456889300341648,0.024051416231549782
aActivePower_L3,0.25666000000000005,0.0,True,615.06071135,178.93402762116813,213.832,1211.53,656.6814999999999,582.282,714.155,-0.9204080946802906,567.3370997899999,166.01519926949135,215.662,1161.68,604.2950000000001,536.9894999999999,655.2202500000001,-0.8213623215927863,0.07759170871843754,0.07219883508298383
aCosPhi_L3,0.1865,0.0,True,0.6616460586199999,0.7329523843089705,-1.0,1.0,0.994273,0.9847725,0.99731,-1.7621213801560591,0.5497171441100001,0.82226014781159,-1.0,1.0,0.996563,0.9778582499999999,0.99883525,-1.3033288281617115,0.1691673536932681,0.12184660858747734
rTotalReactivePower,0.16984,0.0,True,363.04102814428995,243.6406942921174,-193.737,1442.86,408.935,289.07625,497.4635,-0.3308416248962906,322.21500005300607,232.8456056253832,-187.689,1354.08,371.5215,237.29399999999998,447.28200000000004,-0.19953316231432708,0.11245568661714209,0.044307412181924535
aReactivePower_L1,0.15778000000000003,0.0,True,163.47282341097002,102.38507369061767,-68.1639,517.263,180.981,142.599,223.01600000000002,-0.7877061696897741,146.622411105384,102.00753644356892,-72.5464,505.003,159.656,112.19,213.6505,-0.5337893810071315,0.10307775906086464,0.0036874246743495
aCosPhi_L1,0.12303000000000008,0.0,True,0.64163814564,0.6603650804249801,-0.999996,0.999999,0.922138,0.8360335000000001,0.95433525,-1.9745149275204086,0.63574364141,0.6816539462359317,-1.0,1.0,0.9377869999999999,0.848482,0.9659135,-1.8704211762917249,0.00918664854667283,0.03223802426813788
