,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
aReactivePower_L2_change_point_score,0.024964963162451247,0.19915535231874304,0.37628460864989044,5.0,3.0,5.0,4.333333333333333
aReactivePower_L2_std,0.022338840217064795,0.03054624794654459,0.3802913077155523,6.0,15.0,4.0,8.333333333333334
aReactivePower_L2_spectral_peak,0.018646939193625426,0.027671536409041853,0.3443145923623785,8.0,16.0,15.0,13.0
aReactivePower_L1_change_point_score,0.017003341423054086,0.19884767396050362,0.3329057578263029,11.0,4.0,25.0,13.333333333333334
aReactivePower_L1_std,0.01337191613321766,0.027178821332911385,0.36818980087959147,20.0,18.0,8.0,15.333333333333334
rTotalApparentEnergy_mean,0.03301301005353866,0.30407536747399133,0.30677854405759053,2.0,1.0,44.0,15.666666666666666
airTotal_mean,0.03461032745260599,0.3030858563159561,0.30521235210939196,1.0,2.0,46.0,16.333333333333332
aReactivePower_L1_spectral_peak,0.014516957886509852,0.025586772299828642,0.36471611948537125,17.0,23.0,9.0,16.333333333333332
airDurchfluss_change_point_score,0.028290499292637557,0.13896872384084213,0.31187105515429314,4.0,9.0,41.0,18.0
airDurchfluss_mean,0.014518551309596976,0.027116774066600735,0.3359997370777924,16.0,19.0,22.0,19.0
airTempeatur_change_point_score,0.011911743950271402,0.09665495047748451,0.3347405308442207,27.0,10.0,23.0,20.0
rTotalReactiveEnergy_mean,0.02846007420400733,0.14522195670801308,0.2906336636417935,3.0,8.0,51.0,20.666666666666668
aReactivePower_L2_mean,0.01803195159359919,0.02267499907188575,0.3387935777722623,9.0,36.0,17.0,20.666666666666668
airDurchfluss_std,0.01760680584281496,0.026994332664352028,0.32277881412291287,10.0,20.0,34.0,21.333333333333332
airTempeatur_std,0.013223824523762863,0.031116400118891496,0.32642832769766283,21.0,14.0,29.0,21.333333333333332
airDurchfluss_spectral_peak,0.01605141648535934,0.027451718207488263,0.31655951435053636,12.0,17.0,39.0,22.666666666666668
aReactivePower_L2_welch_total_power,0.012588160108128013,0.024029203589565062,0.32515661052067973,23.0,28.0,31.0,27.333333333333332
airTempeatur_mean,0.020220304202960223,0.021912282903641556,0.31418056994335203,7.0,43.0,40.0,30.0
aReactivePower_L1_mean,0.01277188091574093,0.02230834847326002,0.3253394181078929,22.0,39.0,30.0,30.333333333333332
airTotal_std,0.011010042943805724,0.021780423583410258,0.3372032887448339,29.0,44.0,19.0,30.666666666666668
aReactivePower_L1_welch_total_power,0.012055559421430878,0.02382585971462703,0.32099098929994996,26.0,30.0,37.0,31.0
airTotal_trend_slope,0.010993660088944318,0.02144897228767162,0.3378536339822699,31.0,46.0,18.0,31.666666666666668
airTempeatur_spectral_peak,0.015432468027738663,0.02689277251273503,0.27800351461201905,13.0,21.0,63.0,32.333333333333336
airTotal_spectral_peak,0.009818939643090238,0.021689598504843977,0.3362715780728004,34.0,45.0,21.0,33.333333333333336
aVoltage_L3_N_change_point_score,0.008843433425549371,0.18978590445299037,0.2865976000975193,41.0,6.0,56.0,34.333333333333336
aReactivePower_L2_welch_peak_power,0.011428405264755024,0.023770709929671563,0.3065700759517763,28.0,31.0,45.0,34.666666666666664
aVoltage_L2_N_change_point_score,0.008314423662588201,0.18574148694905057,0.28704166104645557,44.0,7.0,55.0,35.333333333333336
aVoltage_L1_N_change_point_score,0.00864846362170248,0.1900957607008691,0.2857569412309672,42.0,5.0,60.0,35.666666666666664
aReactivePower_L1_welch_peak_power,0.010286661836990318,0.02193270131726588,0.31953831964387913,33.0,42.0,38.0,37.666666666666664
airDurchfluss_welch_total_power,0.01244188022081634,0.025156631539023033,0.2652884930883292,24.0,25.0,69.0,39.333333333333336
airTempeatur_welch_total_power,0.012330245841128405,0.023520636409073425,0.27634506617820936,25.0,33.0,65.0,41.0
