number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_scale_pos_weight,params_subsample,state
0,0.12414533139035248,2025-11-12 06:50:11.132010,2025-11-12 06:50:17.829744,0 days 00:00:06.697734,0.3119890406724053,0.8540362888980227,0.5102922471479012,0.8005575058716043,0.7319939418114051,0.2904180608409973,0.09340308327072934,2,10,150,19.548647782429917,0.9330880728874675,COMPLETE
1,0.1305624533948132,2025-11-12 06:50:17.830156,2025-11-12 06:50:22.861962,0 days 00:00:05.031806,1.0495128632644757,0.569746930326021,0.6460723242676091,0.8059264473611898,0.18182496720710062,2.1597250932105787,0.042484433685853404,3,3,200,10.495427649405375,0.645614570099021,COMPLETE
2,0.12346492144196355,2025-11-12 06:50:22.862642,2025-11-12 06:50:24.810919,0 days 00:00:01.948277,0.09290082543999545,0.9744427686266666,0.9828160165372797,0.5325257964926398,0.19967378215835974,3.0377242595071916,0.07957992095277988,2,8,350,17.125960221746915,0.5852620618436457,COMPLETE
3,0.09978960795096505,2025-11-12 06:50:24.811338,2025-11-12 06:50:25.885714,0 days 00:00:01.074376,0.9903538202225404,0.831261142176991,0.6558555380447055,0.6293899908000085,0.6842330265121569,0.17194260557609198,0.06914594902276397,1,1,150,12.801020317667163,0.954660201039391,COMPLETE
4,0.12181458053919429,2025-11-12 06:50:25.886120,2025-11-12 06:50:31.552067,0 days 00:00:05.665947,1.7896547008552977,0.5979914312095727,0.522613644455269,0.5442462510259598,0.9695846277645586,2.9894998940554256,0.13054491604548749,2,2,500,9.879954961448966,0.9609371175115584,COMPLETE
5,0.12956592951873785,2025-11-12 06:50:31.552691,2025-11-12 06:50:38.458192,0 days 00:00:06.905501,1.085392166316497,0.9934434683002586,0.8861223846483287,0.5372753218398854,0.8287375091519293,0.7046211248738132,0.05902737075341557,2,3,200,7.980735223012586,0.9010984903770198,COMPLETE
6,0.09186801101341671,2025-11-12 06:50:38.458633,2025-11-12 06:50:39.113988,0 days 00:00:00.655355,0.14808930346818072,0.811649063413779,0.6654490124263246,0.9315517129377968,0.7068573438476171,1.7923286427213632,0.11960700969365366,1,9,400,5.953375254290354,0.5579345297625649,COMPLETE
7,0.09683640953634406,2025-11-12 06:50:39.114378,2025-11-12 06:50:40.018079,0 days 00:00:00.903701,0.9444298503238986,0.7806385987847482,0.8854835899772805,0.8803925243084487,0.7296061783380641,0.5979712296915085,0.10055656470799232,1,4,450,12.40693394546586,0.8566223936114975,COMPLETE
8,0.11395520923081578,2025-11-12 06:50:40.018521,2025-11-12 06:50:40.711457,0 days 00:00:00.692936,1.2728208225275608,0.6246461145744375,0.7051914615178149,0.9537832369630466,0.02541912674409519,1.5717799053816335,0.036814079385739204,2,5,100,16.33326707814573,0.7542853455823514,COMPLETE
9,0.09436281185031453,2025-11-12 06:50:40.711838,2025-11-12 06:50:41.853464,0 days 00:00:01.141626,1.616240759128834,0.5932850294430179,0.9462794992449889,0.9018360384495572,0.289751452913768,3.1670187825521174,0.04073360826924564,1,1,500,13.09013362873476,0.9357302950938589,COMPLETE
10,0.13055728674520292,2025-11-12 06:50:41.853884,2025-11-12 06:50:42.591998,0 days 00:00:00.738114,0.6011296460986921,0.5061555847824687,0.7952373447968649,0.719925310661622,0.42997719850486626,4.7988537297270994,0.1758909183900227,3,7,250,9.573113160501656,0.6683001503695388,COMPLETE
11,0.1289654144312059,2025-11-12 06:50:42.592391,2025-11-12 06:50:43.969609,0 days 00:00:01.377218,0.6058106697159173,0.503465049116142,0.8033425041274396,0.7164181934155361,0.47271400665794866,4.6912075833905975,0.17995065250934936,3,7,250,9.922423418960506,0.6921539470813262,COMPLETE
12,0.12403583050693487,2025-11-12 06:50:43.970020,2025-11-12 06:50:44.319257,0 days 00:00:00.349237,0.6184674048928032,0.5184671757017438,0.7596626879790089,0.7532665572573536,0.3783544815910271,4.996812193207756,0.19849427319676602,3,6,300,9.650558406584022,0.6776268690405274,COMPLETE
13,0.12344460143115342,2025-11-12 06:50:44.319690,2025-11-12 06:50:45.222845,0 days 00:00:00.903155,0.6157451199095525,0.6924745509172271,0.596609562772596,0.6741494448925179,0.11658346888780897,3.9989254725923926,0.04957751696459094,3,5,250,5.131432526593573,0.6471208002214496,COMPLETE
14,0.11817452502304426,2025-11-12 06:50:45.223229,2025-11-12 06:50:46.078628,0 days 00:00:00.855399,1.3579826188726125,0.6588689133859669,0.8146643330149078,0.8180559718328382,0.5018246101626673,2.010856620670416,0.1460479774266151,3,7,300,7.745495042756605,0.5076702088485051,PRUNED
15,0.1119772963416388,2025-11-12 06:50:46.079216,2025-11-12 06:50:46.933890,0 days 00:00:00.854674,0.7494976952940966,0.5410524522319671,0.6158212214984655,0.8255044162944254,0.28080455355952544,4.013526008530631,0.030576499844796757,3,3,200,11.398251057769503,0.7696363894573159,COMPLETE
16,0.12574150631991174,2025-11-12 06:50:46.934335,2025-11-12 06:50:54.471462,0 days 00:00:07.537127,0.3409225570642259,0.7046375769670785,0.7276641271504031,0.6198240595243358,0.528089598347137,1.0970129580378851,0.05177533671179295,3,4,100,15.100200569816524,0.6145777931279818,COMPLETE
17,0.12280959721277596,2025-11-12 06:50:54.472091,2025-11-12 06:50:56.421710,0 days 00:00:01.949619,1.4012897460021503,0.5710327883391658,0.8047985978243799,0.9981126922026228,0.007973033784746286,2.3299192960395465,0.07448426345694463,3,6,250,7.468355546388576,0.7994044814785853,COMPLETE
18,0.11640164284962592,2025-11-12 06:50:56.422079,2025-11-12 06:50:57.618849,0 days 00:00:01.196770,0.8379025210257055,0.7230898668570152,0.5945695492295986,0.7544296131894989,0.36489123553849173,3.6814654399430418,0.1559961668265904,3,8,200,11.095619025286087,0.7122009445518859,COMPLETE
19,0.11850619117753197,2025-11-12 06:50:57.619288,2025-11-12 06:50:59.439555,0 days 00:00:01.820267,0.40868070769710285,0.9025484007119056,0.8735437997054583,0.682635976821535,0.1620685294736472,2.4451362884563723,0.10157661757239136,3,3,400,14.219596571471817,0.5297280848364416,COMPLETE
20,0.12585343300996174,2025-11-12 06:50:59.440186,2025-11-12 06:51:01.796257,0 days 00:00:02.356071,1.15538368679489,0.5560606755967956,0.6786439725274609,0.6042327819250938,0.410834178358134,1.32905363491958,0.041347560176729185,2,4,150,8.820293404513672,0.6462746137904208,COMPLETE
21,0.11412302782690521,2025-11-12 06:51:01.796706,2025-11-12 06:51:02.211523,0 days 00:00:00.414817,1.0838232370781788,0.9397453007596632,0.917951516274869,0.5003839874746265,0.919603310407603,0.8555290779695754,0.056667625917730516,2,2,200,7.086104649106256,0.8656049731580796,COMPLETE
22,0.1231740329178044,2025-11-12 06:51:02.211921,2025-11-12 06:51:05.486278,0 days 00:00:03.274357,1.5251316321216577,0.6522599521773027,0.8417340034725125,0.8653085503216601,0.8284339058204301,2.1511212381156612,0.05905267985042145,2,3,250,8.563437131205466,0.8503379147377661,COMPLETE
23,0.10700873142528289,2025-11-12 06:51:05.486677,2025-11-12 06:51:05.973438,0 days 00:00:00.486761,0.813929311316032,0.7643080707754749,0.7335808795227079,0.7767217315451566,0.5996420246444882,2.705162058128409,0.046318330462147235,2,2,200,10.997188327735575,0.8037795397104863,PRUNED
24,0.12306980378877419,2025-11-12 06:51:05.973781,2025-11-12 06:51:09.308146,0 days 00:00:03.334365,1.2011169970518116,0.886714551595948,0.7828428060577677,0.7151028138106765,0.5944267820385151,3.6126271196957873,0.061194654329541846,2,7,350,6.504820130557072,0.7077823773067672,PRUNED
25,0.10609928962470198,2025-11-12 06:51:09.308497,2025-11-12 06:51:10.311822,0 days 00:00:01.003325,0.9671609594451791,0.9830622420626147,0.8499324748890318,0.5837099658598633,0.2664566099325386,4.55732904400662,0.03282788456041225,3,5,150,9.35259075297133,0.600341609716959,COMPLETE
26,0.12320943978778781,2025-11-12 06:51:10.312254,2025-11-12 06:51:12.396546,0 days 00:00:02.084292,1.9054205622745752,0.5074388942334928,0.9111834385845844,0.6636732351089042,0.8489336927146642,0.6592074006983211,0.08639069276805185,3,4,300,8.28656506470802,0.6516273232365929,COMPLETE
27,0.12403188405629993,2025-11-12 06:51:12.396934,2025-11-12 06:51:15.192962,0 days 00:00:02.796028,0.5314860101836507,0.630282017311137,0.9991322137461714,0.8588837623812292,0.11501973861169984,1.3223511583766676,0.06637086551794431,2,6,200,10.771297716326565,0.8938158372506952,COMPLETE
28,0.11802504730090752,2025-11-12 06:51:15.193595,2025-11-12 06:51:20.962001,0 days 00:00:05.768406,0.7465183344128892,0.5708724957218138,0.5488434978632486,0.5720893054704821,0.5846330792065013,3.3946714289010256,0.04286142336193548,3,3,300,11.749116426956839,0.7282401840837085,COMPLETE
29,0.10267232077864122,2025-11-12 06:51:20.962634,2025-11-12 06:51:21.420850,0 days 00:00:00.458216,1.5760465110846302,0.8750439344642857,0.9495881374072886,0.7905672484256745,0.4586767308753469,0.3984835169099272,0.03529905877865234,2,10,150,19.45616330372361,0.981676211348249,COMPLETE
30,0.1154086091045672,2025-11-12 06:51:21.421492,2025-11-12 06:51:22.000349,0 days 00:00:00.578857,0.2250767105271973,0.9298968637023282,0.7710719278966759,0.7188963648878228,0.8201925171219733,2.6593653400659876,0.05364262095889064,2,9,250,13.666152259368163,0.796528348659674,PRUNED
31,0.1205835131964811,2025-11-12 06:51:22.000693,2025-11-12 06:51:22.534184,0 days 00:00:00.533491,0.48249669784659954,0.51185510588071,0.8240626647792813,0.7038714741996794,0.3361827677593239,4.963146475948251,0.19771000899693913,3,7,250,10.239699847618096,0.6895437635893121,COMPLETE
32,0.10768069191246744,2025-11-12 06:51:22.534820,2025-11-12 06:51:22.859735,0 days 00:00:00.324915,0.6385897779209371,0.5004747280516427,0.7953928848661319,0.653935770151028,0.4367853464024682,4.571231007974683,0.1855707142776829,3,8,250,9.142780739011506,0.6277797895609677,COMPLETE
33,0.11810224078374047,2025-11-12 06:51:22.860165,2025-11-12 06:51:24.192452,0 days 00:00:01.332287,1.065621326054409,0.5346291517025558,0.8625386049501376,0.8216209289644142,0.6491320553996413,4.555428013898889,0.1753106735132736,3,7,350,12.121737605709923,0.6700015086096562,PRUNED
34,0.11030022316951896,2025-11-12 06:51:24.193034,2025-11-12 06:51:24.654086,0 days 00:00:00.461052,0.9008621922948923,0.6003173698813575,0.7007244248774167,0.7276590550120183,0.21926899935662925,0.04295913123691364,0.11752665705242192,3,8,200,10.162554761909217,0.5891672108540903,COMPLETE
