Feature,Importance
rTotalReactiveEnergy_min,3905.639892578125
rTotalApparentEnergy_diff_std,3024.429443359375
rTotalApparentEnergy_diff_mean,2276.343505859375
rTotalActivePower_change_point_score,1568.783447265625
rTotalApparentPower_skew,1370.493896484375
rTotalActivePower_max,1281.4619140625
aCurrentL2_spike_count,966.41015625
aCurrentL1_mean,855.7849731445312
rTotalApparentEnergy_mean,812.9876708984375
aCurrentL2_diff_mean,675.7188720703125
rTotalReactiveEnergy_skew,629.4196166992188
rTotalActivePower_abs_energy,605.0635986328125
rTotalActivePower_mean,600.8377075195312
rTotalApparentEnergy_z_score,600.3803100585938
rTotalReactiveEnergy_change_point_score,579.465576171875
rTotalApparentPower_spike_count,568.285400390625
rTotalActivePower_min,550.306640625
rTotalReactiveEnergy_diff_std,546.9880981445312
aCurrentL1_ks_test_statistic,545.2888793945312
aCurrentL1_skew,509.6619567871094
rTotalActivePower_diff_mean,484.3399353027344
aCurrentL1_diff_std,483.57623291015625
rTotalReactiveEnergy_spike_count,470.3929443359375
rTotalApparentPower_trend_slope,448.5845642089844
rTotalReactivePower_std,427.5850830078125
rTotalApparentPower_change_point_score,407.7044982910156
rTotalApparentPower_mean,405.0135498046875
rTotalApparentPower_diff_mean,369.5118713378906
aCurrentL2_std,367.7445373535156
aCurrentL2_min,359.0086669921875
rTotalReactiveEnergy_diff_mean,326.0855712890625
rTotalReactiveEnergy_z_score,314.58331298828125
rTotalApparentEnergy_spike_count,304.37127685546875
rTotalActivePower_trend_slope,301.0976257324219
aCurrentL1_std,297.2518615722656
rTotalReactiveEnergy_mean,288.7875061035156
rTotalReactiveEnergy_std,270.6898498535156
aCurrentL2_ks_test_statistic,268.39324951171875
rTotalApparentPower_diff_std,265.39691162109375
rTotalApparentEnergy_abs_energy,264.37603759765625
rTotalReactivePower_min,264.3435974121094
rTotalActivePower_diff_std,256.9891357421875
aCurrentL2_range,247.4913330078125
rTotalApparentPower_max,244.48085021972656
rTotalApparentEnergy_skew,232.7765655517578
rTotalApparentEnergy_trend_slope,230.11270141601562
rTotalApparentPower_z_score,215.08404541015625
rTotalReactivePower_mean,202.99098205566406
rTotalApparentPower_range,197.74368286132812
aCurrentL3_mean,195.31614685058594
rTotalApparentEnergy_max,187.61294555664062
aCurrentL2_trend_slope,181.58680725097656
rTotalApparentEnergy_ks_test_statistic,174.6708221435547
aCurrentL2_mean,163.58551025390625
rTotalReactiveEnergy_max,162.19900512695312
aCurrentL2_change_point_score,159.98568725585938
rTotalApparentPower_ks_test_statistic,158.54600524902344
aCurrentL2_abs_energy,157.3455352783203
rTotalReactivePower_skew,150.56338500976562
rTotalActivePower_z_score,148.7719268798828
aCurrentL2_skew,143.09873962402344
rTotalReactivePower_abs_energy,137.23458862304688
aCurrentL1_z_score,134.17652893066406
rTotalReactivePower_z_score,133.34381103515625
rTotalApparentPower_std,132.35037231445312
aCurrentL1_spike_count,129.92037963867188
aCurrentL2_z_score,128.7468719482422
aCurrentL1_diff_mean,127.69941711425781
rTotalActivePower_skew,127.1000747680664
aCurrentL2_max,123.73358154296875
rTotalActivePower_std,120.76898956298828
rTotalReactivePower_ks_test_statistic,120.6241226196289
aCurrentL1_change_point_score,102.9184341430664
aCurrentL3_max,102.79141235351562
rTotalApparentPower_min,102.27886962890625
aCurrentL1_trend_slope,96.93016052246094
rTotalReactivePower_trend_slope,96.79153442382812
rTotalReactiveEnergy_trend_slope,93.02873229980469
rTotalActivePower_range,90.34808349609375
rTotalApparentEnergy_change_point_score,90.33755493164062
aCurrentL3_std,88.75411987304688
rTotalReactiveEnergy_range,87.57854461669922
aCurrentL3_min,78.86402130126953
aCurrentL1_max,71.49114990234375
rTotalReactiveEnergy_ks_test_statistic,71.39982604980469
aCurrentL1_range,71.05118560791016
rTotalReactivePower_spike_count,70.07748413085938
rTotalApparentEnergy_min,68.50727081298828
aCurrentL2_diff_std,65.29324340820312
rTotalReactiveEnergy_abs_energy,60.9757080078125
rTotalReactivePower_range,59.38047790527344
aCurrentL1_abs_energy,56.34961700439453
rTotalActivePower_spike_count,53.2042236328125
aCurrentL1_min,50.4629020690918
rTotalApparentEnergy_std,49.7281379699707
rTotalReactivePower_max,48.18213653564453
rTotalReactivePower_change_point_score,47.30772399902344
rTotalActivePower_ks_test_statistic,15.80023193359375
rTotalReactivePower_diff_std,10.69390869140625
rTotalReactivePower_diff_mean,5.970664978027344
rTotalApparentEnergy_range,5.1536712646484375
rTotalApparentPower_abs_energy,4.687568664550781
