tsne_1,tsne_2,label
70.37474,-50.694256,0
82.77717,-33.149254,0
80.46602,-35.091442,0
16.84821,-81.13967,0
17.582247,-80.903145,0
17.825117,-80.73954,0
76.713776,-40.486744,0
78.43007,-38.258247,0
16.315784,-81.07277,0
17.274742,-80.78258,0
17.464546,-80.70436,0
70.63975,-48.257854,0
77.81543,-38.789124,0
68.742355,-53.65492,0
17.737087,-79.56063,0
16.610836,-79.207886,0
70.99887,-54.446884,0
76.62515,-38.09769,0
70.80952,-53.055676,0
69.88695,-53.384346,0
71.27101,-51.617924,0
72.50875,-48.015812,0
81.95628,-32.88196,0
80.21751,-34.718163,0
70.76055,-51.46018,0
68.32173,-55.114685,0
2.0805035,-73.81948,0
-12.254604,-72.97872,0
73.00263,-39.96489,0
84.34704,-31.33182,0
77.55537,-29.675575,0
69.19638,-50.501648,0
67.5532,-54.567238,0
76.73143,-39.56105,0
82.9686,-32.66684,0
78.70265,-37.53118,0
70.428055,-48.74463,0
69.80437,-49.298508,0
77.02028,-40.22872,0
83.03737,-33.19985,0
80.460304,-35.16048,0
70.5457,-48.643116,0
69.43935,-49.546432,0
69.53471,-49.61825,0
83.298386,-32.681362,0
80.91913,-34.29356,0
68.69152,-53.573265,0
17.588907,-80.01502,0
17.576078,-80.08719,0
76.79092,-39.43716,0
77.62604,-38.74257,0
16.377115,-80.70199,0
17.541948,-79.994705,0
16.841835,-80.12023,0
71.48654,-49.439064,0
77.52282,-38.130062,0
15.731393,-80.62038,0
17.673946,-80.25677,0
16.796549,-79.72309,0
72.064644,-49.66978,0
76.80615,-38.055107,0
69.13171,-53.758842,0
66.553986,-51.944202,0
66.57566,-51.910015,0
76.41415,-38.57414,0
82.033356,-32.396416,0
78.1861,-36.599026,0
73.12908,-43.63037,0
73.05948,-44.046825,0
72.356735,-48.617966,0
82.307274,-32.171062,0
77.72949,-37.047424,0
70.63497,-51.435055,0
69.687904,-53.146965,0
70.915405,-51.724834,0
82.14782,-31.844137,0
81.138725,-33.32735,0
70.77804,-50.935905,0
70.107254,-52.070995,0
71.58522,-50.407578,0
82.3303,-32.00041,0
81.95707,-32.53884,0
72.29177,-48.42755,0
70.71718,-52.092247,0
69.98451,-53.333496,0
79.41226,-35.539234,0
81.80958,-32.980804,0
76.62704,-38.97687,0
70.950195,-51.034744,0
69.97049,-53.439434,0
72.12687,-50.210194,0
76.810356,-38.46581,0
69.072624,-53.259056,0
16.370426,-80.219955,0
17.18823,-79.76274,0
15.605567,-80.49045,1
77.09301,-38.39191,1
71.66297,-48.577652,1
16.553663,-79.65549,1
17.45196,-79.463394,0
15.830036,-80.57046,1
78.19254,-37.80448,1
71.31591,-48.446114,1
16.998177,-80.13665,1
17.900312,-79.83775,1
66.511024,-51.97393,1
73.230255,-42.95183,1
81.548744,-33.76028,1
70.87761,-48.71048,1
70.095985,-49.99344,1
68.32807,-54.033524,1
80.59643,-34.43953,0
82.44322,-32.92177,0
71.42461,-48.221382,0
70.386566,-50.957745,0
69.29345,-53.697186,0
78.77972,-36.20351,0
82.58305,-32.353214,0
76.17581,-39.083893,0
2.3004065,-74.101074,0
1.2521274,-72.28071,0
2.3002384,-74.03471,0
1.3184239,-72.30377,0
73.181046,-39.895702,0
81.73296,-31.773655,0
75.403915,-37.946415,0
72.10503,-54.68088,0
71.03363,-55.898582,0
1.2201599,-71.96647,0
-16.847609,-74.30957,0
-16.952143,-74.19713,0
-13.801893,-74.05197,0
-15.379769,-74.683586,0
-16.674414,-74.9312,0
-16.711155,-74.94544,0
-15.353192,-74.08829,0
-12.0174465,-73.0119,0
74.00172,-40.11847,0
44.76954,-75.92481,0
1.8966904,-73.39669,0
0.89313316,-71.840904,0
0.96194494,-71.86201,0
